種別,三宅島漁獲量（ｋｇ）,三宅島生産額（千円）,御蔵島漁獲量（ｋｇ）,御蔵島生産額（千円）,合計漁獲量（ｋｇ）,合計生産額（千円）
さば,18,6,0,0,18,6
とびうお,151,123,5,3,156,126
むろあじ,"9,174","2,477",0,0,"9,174","2,477"
まあじ,0,0,0,0,0,0
しまあじ,574,"1,596",483,"2,307","1,057","3,903"
たかべ,189,358,222,438,411,796
いさき,238,284,0,0,238,284
かつお類,"19,662","12,981",476,331,"20,138","13,312"
まぐろ類,"70,776","98,750","13,693","11,458","84,469","110,208"
かじき類,"1,270","1,303",149,207,"1,419","1,510"
きんめだい,"66,401","107,434",0,0,"66,401","107,434"
ひめだい,490,617,19,18,509,635
はまだい,302,650,0,0,302,650
あおだい,"2,054","2,884",0,0,"2,054","2,884"
めだい,"14,616","11,388",0,0,"14,616","11,388"
あこうだい,254,561,0,0,254,561
むつ,75,300,0,0,75,300
まだい,32,25,10,11,42,36
ひらまさ,"1,291","1,094",92,79,"1,383","1,173"
かんぱち,"9,337","11,780",689,864,"10,026","12,644"
さわら,826,351,52,45,878,396
さめ類,0,0,0,0,0,0
ぶり類,32,15,0,0,32,15
ひらめ,8,14,0,0,8,14
ぼら類,0,0,0,0,0,0
その他の魚類,"12,364","11,738",153,178,"12,517","11,916"
計,"210,134","266,729","16,043","15,939","226,177","282,668"
かめ,0,0,0,0,0,0
いか,3044,"4,811",0,0,"3,044","4,811"
いせえび,275,"2,070",0,0,275,"2,070"
とこぶし,0,0,0,0,0,0
その他,135,233,18,22,153,255
計,"3,454","7,114",18,22,"3,472","7,136"
てんぐさ,492,502,0,0,492,502
とさかのり,0,0,0,0,0,0
その他,0,0,6,86,6,86
計,492,502,6,86,498,588
合計,"214,080","274,345","16,067","16,047","230,147","290,392"
