事業区分,元年度施工箇所,元年度数量,元年度工事費（千円）,2年度施工箇所,2年度数量,2年度工事費（千円）,3年度施工箇所,3年度数量,3年度工事費（千円）
復旧治山,三宅村（阿古）,法面工（490ｍ2）,45603,御蔵島村（卯辰川）,鋼製谷止工,61174,三宅村（金曽沢）,山腹工,34485
復旧治山,,,,三宅村（阿古）,法面工（821.1m2）,70950,御蔵島村（卯辰川）,谷止工（741.8ｍ3）,明繰
都単林地荒廃復旧,三宅村（大久保）,流路浚渫等（1式）,483,三宅村（伊ヶ谷）,補強土工（581m2）,明繰,三宅村（伊ヶ谷）,補強土工（581m2）,46321
都単林地荒廃復旧,,,,御蔵島村（卯辰川）,護岸工（28.6m),明繰,御蔵島村（卯辰川）,護岸工（28.6m),10967
都単林地荒廃復旧,,,,,,,三宅村（伊ヶ谷）,補強土工（586m2）,45375
,,,,,,,御蔵島村（卯辰川）,落石防止工,72787
都単委託（災害）,御蔵島村（卯辰川）,測量・設計,2398,御蔵島村（島内一円）,機能強化,3465,三宅島（島内一円）,機能強化,6457
都単委託（災害）,御蔵島村（卯辰川）,全体計画作成,11220,三宅村（伊ヶ谷）,測量・設計,4389,三宅村（大久保）,全体計画,9955
都単委託（災害）,三宅村（島内一円）,機能強化,4400,御蔵島村（卯辰川）,測量・設計,3795,御蔵島村（卯辰川）,測量・設計,5720
都単委託（災害）,三宅村（島内一円）,機能強化,4180,三宅村（夕景）,全体計画作成,10296,三宅村（夕景）,測量・設計,4059
都単委託（災害）,三宅支庁,建設資材価格調査,132,三宅村（タデノ沢）,測量・設計,3729,三宅村（厚木沢）,全体計画,9845
都単委託（災害）,　,,,三宅支庁,建設資材価格調査,242,三宅支庁,建設資材価格調査,290
