年度（年）,鳥獣名（羽）,捕獲数（羽）,許可区分,区域
29,オオミズナギドリ,600,都知事,御蔵島村、三宅村
29,カラス,130,都知事,御蔵島村、三宅村
30,オオミズナギドリ,501,都知事,御蔵島村、三宅村
30,カラス,92,都知事,御蔵島村、三宅村
元,オオミズナギドリ,448,都知事,御蔵島村、三宅村
元,カラス,89,都知事,御蔵島村、三宅村
2,オオミズナギドリ,397,都知事,御蔵島村、三宅村
2,カラス,64,都知事,御蔵島村、三宅村
3,オオミズナギドリ,483,都知事,御蔵島村、三宅村
3,カラス,41,都知事,御蔵島村、三宅村
