観測地点,,小型車(台),大型車(台),自動車計(台)
伊豆６４0(都道２１２号),,"1,320",88,"1,408"
阿古５１２(都道２１２号),,"1,512",126,"1,638"
坪田３０５０(都道２１２号),,"1,141",298,"1,439"
伊ヶ谷４３２(都道２１２号),,117,32,149
