年月,御蔵島東京⇒三宅⇒御蔵入（人）,御蔵島東京⇒三宅⇒御蔵出（人）,御蔵島東京⇒三宅⇒御蔵予定（日）,御蔵島東京⇒三宅⇒御蔵実績（日）,御蔵島東京⇒三宅⇒御蔵就航率（％）,御蔵島御蔵⇒三宅⇒東京入（人）,御蔵島御蔵⇒三宅⇒東京出（人）,御蔵島御蔵⇒三宅⇒東京予定（日）,御蔵島御蔵⇒三宅⇒東京実績（日）,御蔵島御蔵⇒三宅⇒東京就航率（％）,御蔵島合計入（人）,御蔵島合計出（人）
4,279,40,30,21,70,13,255,30,21,70,292,295
5,658,37,31,25,80.65,212,738,31,27,87.1,870,775
6,632,26,30,20,66.67,105,673,30,23,76.67,737,699
7,988,19,31,27,87.1,17,929,31,27,87.1,"1,005",948
8,769,27,31,23,74.19,107,743,31,26,83.87,876,770
9,434,28,30,18,60,45,349,30,18,60,479,377
10,614,14,31,21,67.74,82,606,31,24,77.42,696,620
11,291,43,30,19,63.33,79,252,30,18,60,370,295
12,26,10,31,7,22.58,6,59,31,11,35.48,32,69
1,67,3,31,11,35.48,3,24,31,10,32.26,70,27
2,94,10,28,14,50,5,43,28,13,46.43,99,53
3,242,24,31,22,70.97,24,254,31,23,74.19,266,278
計,人,人,日,日,％,人,人,日,日,％,人,人
,"5,094",281,365,228,62.47,698,"4,925",365,241,66.03,"5,792","5,206"
2,"3,941",218,365,206,56,448,"3,847",365,228,62,"4,389","4,065"
31,"3,554",151,365,210,58,263,"3,452",365,230,63,"3,817","3,603"
30,"6,387",448,366,204,56,789,"6,147",366,216,59,"7,176","6,595"
29,"6,564",329,365,209,57,737,"6,259",365,220,60,"7,301","6,588"
28,"7,162",572,365,230,63,725,"6,647",365,246,67,"7,887","7,219"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
