産業分類（産業）,産業（大分類）,三宅村（人）,御蔵島村（人）
1,農業,47,2
1,林業・狩猟業,3,－
1,漁業・水産養殖業,29,1
1,鉱業,－,－
2,建設業,228,41
2,製造業,19,4
2,電気ガス水道業,11,6
2,情報通信業,12,1
2,運輸・郵便業,78,28
3,卸売業・小売業,109,11
3,金融・保険・不動産業,11,－
3,学術研究・専門・技術サービス業,19,2
3,宿泊業・飲食サービス業,110,36
3,生活関連サービス業・娯楽業,28,8
3,教育・学習支援業,82,27
3,医療・福祉,117,14
3,複合サービス事業,43,7
3,その他サービス業,130,8
3,公務,186,18
分類不能の産業,,16,－
合計,,"1,278",214
