補助単独別,事業名,事業量,事業費（千円）,財源内訳国庫支出金（千円）,財源内訳都支出金（千円）,財源内訳地方債（千円）,財源内訳その他（千円）,財源内訳一般財源（千円）
単独,残土処分施設整備事業,赤沢地区施設整備詳細設計,"5,687",,"4,000",,,"1,687"
単独,製氷施設改修工事実施設計,製氷施設改修工事実施設計,"5,720",,"4,000",,,"1,720"
単独,学校重油保管庫更新工事,学校重油保管庫更新,"6,257",,"4,500",,,"1,757"
単独,じん芥処理施設整備事業,じん芥処理施設整備基本計画策定外,"7,205","1,650","2,000",,,"3,555"
単独,急斜面地崩壊対策事業分担金,急斜面地崩壊対策事業分担金,"7,379",,,,,"7,379"
単独,新庁舎建設構想計画策定事業,新庁舎建設構想計画策定,"12,411",,"9,000",,,"3,411"
単独,ふれあい広場整備工事,ふれあい広場整備,"22,385",,"18,683",,,"3,702"
単独,えびね公園改修工事,えびね公園改修,"24,970",,"20,000",,,"4,970"
単独,村道赤沢線新設工事,村道赤沢線新設,"70,356",,"17,121",,"18,057","35,178"
補助,里内住宅整備事業,里内住宅整備,"110,065","26,392","45,000",,"20,000","18,673"
補助,たりぼう・森山ケ下住宅整備事業,仮設道路・擁壁工事外,"127,949","59,697","10,000",,"47,885","10,367"
