生産品,30～3数量,30～3数量（単位）,30～3金額（千円）,備考
木材,[sanitize],ｍ３,[sanitize],平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
木炭,[sanitize],俵,[sanitize],平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
薪,[sanitize],ｍ３,[sanitize],平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
椿油,[sanitize],ｋｇ,[sanitize],平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
生シイタケ,[sanitize],ｋｇ,[sanitize],平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
サカキ・シキミ,[sanitize],千本,[sanitize],平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
計,,,[sanitize],平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
