区分１,区分２,,総数,立木地総数総数,立木地総数針,立木地総数広,立木地人工林総数,立木地人工林針,立木地人工林広,立木地天然林総数,立木地天然林針,立木地天然林広,竹林,無立木地総数,無立木地伐採跡地,無立木地未立木地,更新困難地,備考
三宅村,面積,ｈａ,"4,031","3,675",613,"3,062","1,131",593,538,"2,544",20,"2,524",0,356,―,356,0,
三宅村,材積,ｍ２,"128,840","128,840","34,120","94,720","55,296","33,186","22,110","73,544",934,"72,610",―,―,―,―,―,
御蔵島村,面積,ｈａ,"1,827","1,664",14,"1,649",367,11,356,"1,296",3,"1,293",32,131,1,131,0,
御蔵島村,材積,ｍ２,"222,732","222,732","6,867","215,865","48,175","5,469","42,706","174,557","1,398","173,159",―,―,―,―,―,
