学校別,進学者都立三宅高等学校（人）,進学者島外（人）,その他島内（人）,その他島外（人）,卒業者数（人）,進学率（％）
三宅,7,5,0,0,12,100
御蔵島,0,2,0,0,2,100
計,7,7,0,0,14,100
