震度,1,2,3,4,5,6,7,8,9,10※,11※,12※,計※
1,1,,1,,1,,1,,2,,[sanitize],[sanitize],6
2,,1,,,,1,,,,1,[sanitize],[sanitize],3
3,,,1,,,,,,,,[sanitize],[sanitize],1
