生産品,元数量,元数量単位,元金額（千円）,2数量,2数量単位,2金額（千円）,3数量,3数量単位,3金額（千円）,4数量,4数量単位,4金額（千円）,備考
木材,－?,m3,－千円,－?,m3,－千円,－?,m3,－千円,－?,m3,－千円,
柘材,11?,m3,"4,286千円",14?,m3,"4,450千円",11?,m3,"4,336千円",22?,m3,"4,878千円",
桑材,0.2?,m3,386千円,0.6?,m3,787千円,0.4?,m3,383千円,0.2?,m3,218千円,
生シイタケ,6㎏,㎏,9千円,－㎏,㎏,－千円,－㎏,㎏,―千円,－㎏,㎏,－千円,
計,,,"4,681千円",,,"5,237千円",,,"4,719千円",,,"5,096千円",
