作目１,作目２,三宅村作付面積（ｈａ）,三宅村生産額（百万円）,御蔵作付面積（ｈａ）,島村生産額（百万円）,合計作付面積（ｈａ）,合計生産額（百万円）
野菜類,カンショ,2.6,8,－,－,2.6,8
野菜類,バレイショ,1,1,－,－,1,1
野菜類,サトイモ,3.1,5,－,－,3.1,5
野菜類,アシタバ,20.1,114,3.4,21,23.5,135
野菜類,キヌサヤ,0.6,4,－,－,0.6,4
野菜類,その他,2.8,18,－,－,2.8,18
野菜類,小計,30.2,150,3.4,21,33.6,171
花き類,切葉・切枝類,5.5,－,－,－,5.5,－
花き類,その他,0,－,2.8,1,2.8,1
花き類,小計,5.5,75,2.8,1,8.3,76
果樹,,0.3,6,－,－,0.3,6
その他,,0,0,－,－,0,0
合計,,36,231,6.3,22,42.3,253
