年度,地区,区分,旅館・ホテル,民宿通年,民宿季節,バンガロー公営,バンガロー民営,キャンプ場公営,キャンプ場民営,合計
2,三宅,軒数（軒）,2,30,0,0,0,0,0,32
2,三宅,定員（人）,80,664,0,0,0,0,0,744
2,御蔵,軒数（軒）,0,8,0,6,0,0,0,14
2,御蔵,定員（人）,0,144,0,28,0,0,0,172
3,三宅,軒数（軒）,2,30,0,0,0,1,0,33
3,三宅,定員（人）,80,664,0,0,0,39,0,783
3,御蔵,軒数（軒）,0,8,0,6,0,0,0,14
3,御蔵,定員（人）,0,124,0,28,0,0,0,152
4,三宅,軒数（軒）,2,30,0,0,0,1,0,33
4,三宅,定員（人）,80,664,0,0,0,39,0,783
4,御蔵,軒数（軒）,0,8,0,6,0,0,0,14
4,御蔵,定員（人）,0,124,0,28,0,0,0,152
