学校別,進学者都立三宅高等学校（人）,進学者島外（人）,その他島内（人）,その他島外（人）,卒業者数（人）,進学率（％）
三宅,9,2,0,0,11,100
御蔵島,0,3,0,0,3,100
計,9,5,0,0,14,100
