投票所名１,投票所名２,選挙人名簿（令和２年９月１日）男（人）,選挙人名簿（令和２年９月１日）女（人）,選挙人名簿（令和5年９月１日）計（人）,,,,,,,,,,,,,
三宅村,神着投票区,296,213,509,,,,,,,,,,,,,
三宅村,伊豆投票区,120,104,224,,,,,,,,,,,,,
三宅村,伊ヶ谷投票区,67,51,118,,,,,,,,,,,,,
三宅村,阿古投票区,360,311,671,,,,,,,,,,,,,
三宅村,坪田投票区,265,204,469,,,,,,,,,,,,,
合計,,"1,108",883,"1,991",,,,,,,,,,,,,
御蔵島村,,119,114,233,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
