要素１,要素２,1,2,3,4,5,6,7,8,9,10,11,12,年
平均気温℃,東京,5.4,8.5,12.8,15.1,19.6,22.7,25.9,27.4,22.3,18.2,13.7,7.9,16.6
平均気温℃,大島,8.2,10.4,13.5,14.9,18.9,21.9,25.3,26.7,22.8,19.3,15.1,10.7,17.3
平均気温℃,三宅島,10.6,11.8,14.8,16.3,20.3,22.3,25.8,27.2,24.5,21,17.1,12.7,18.7
平均気温℃,八丈島,10.7,11.8,14.7,16.2,20,21.6,25,26.4,24.5,20.7,16.8,12.7,18.4
降水量ｍｍ,東京,43.5,88.5,173,156,99.5,168.5,310,382.5,222.5,199.5,93,116,2052.5
降水量ｍｍ,大島,236,66.5,198,177,327.0),220,434.5,373,277,399,186.5,166.5,3061
降水量ｍｍ,三宅島,120,69,274.5,158,184.5,218,408.5,412.5,393.5,473.5,220.5,174.5,3107
降水量ｍｍ,八丈島,246.5,78,127,156.5,364.5),379,229,230.5),283,605.5,151.5,134.5,2985.5
日照時間ｈ,東京,172.4,214.9,193.2,218.5,150.5,131.6,160.2,175.6,100.7,163,206.7,202.5,2089.8
日照時間ｈ,大島,155.6,187.9,168.8,205.8,163.9,149.1,163.1,176,95.5,156.7,165.1,185.1,1972.6
日照時間ｈ,三宅島,90.1,156.2),165,182.1,146.5,139.8,191.5,196.3,95.2,134.2,102.6,128.4,1727.9
日照時間ｈ,八丈島,87.9,103.7,152.4,168.9,112.2,106.1,145,144.4,116.9,114.8,120.4,86.6,1459.3
平均風速ｍ／ｓ,東京,2.3,2.9,3.2,3.2,3.2,2.7,2.4,3.1,2.4,2.5,2.2,2.4,2.7
平均風速ｍ／ｓ,大島,6,6.7,4.9,5.4,5.2,3.7,3.6,5,4.7,4.9,5.5,6.5,5.2
平均風速ｍ／ｓ,三宅島,7.9,7.7,5.3,5.7,5.7,4,4.2,5.1,5.4,5.7,6.2,7.6,5.9
平均風速ｍ／ｓ,八丈島,5.1,5.9,4.7,5.5,4.7,4,4,4.3,4.9,5.2,4.7,5.4,4.9
平均湿度％,東京,57,49,62,60,73,77,83,80,82,76,65,60,69
平均湿度％,大島,69,60,75,72,84,83,89,88,86,81,72,67,77
平均湿度％,三宅島,66,60,72,67,79,82,88,87,84,78,69,66,75
平均湿度％,八丈島,72,68,78,72,86,91,94,92,87,84,72,71,81
