事業名,公単別,事業内容,事業主体,事業費（千円）,負担区分国（千円）,負担区分都（千円）,負担区分村（千円）
地域農業水利施設,公,八重間地区,三宅村,"75,167","37,583","18,792","18,792"
ストックマネジメント事業,,パイプライン工事,,,,,
農業水路等長寿命化・防災減災事業,公,笠地貯水池水質保全対策実施計画策定,三宅村,"4,840","4,840",-,-
小規模土地改良事業,単,上道線地区測量設計費,三宅村,"2,959",-,"1,479","1,480"
,,西原貯水地測量設計費,,"3,190",-,"1,276","1,914"
