学科１,学科２,１学年男（人）,１学年女（人）,１学年計（人）,２学年男（人）,２学年女（人）,２学年計（人）,３学年男（人）,３学年女（人）,３学年計（人）,合計男（人）,合計女（人）,合計計（人）
普通科,,4,0,4,4,3,7,2,2,4,10,5,15
併合科,農業,5,0,5,0,0,0,2,0,2,7,0,7
併合科,家政,0,0,0,0,1,1,0,0,0,0,1,1
計,,9,0,9,4,4,8,4,2,6,17,6,23
