補助単独別,事業名,事業量,事業費（千円）,財源内訳国庫支出金（千円）,財源内訳都支出金（千円）,財源内訳地方債（千円）,財源内訳その他（千円）,財源内訳一般財源（千円）
単独,職員住宅管理,職員住宅屋根張替工事、職員住宅給湯器交換工事,"9,079",,"8,000",,1008,71
単独,情報通信基盤施設整備事業,光ケーブル敷設工事、光ケーブル損傷復旧工事　ほか,"20,277",,"13,500",,6424,353
単独,臨時庁舎管理,臨時庁舎エアコン入替工事、臨時庁舎浄化槽改修工事実施設計,"2,825",1287,,,,"1,538"
単独,保育所運営,保育園エアコン取付工事、脱硫装置撤去工事,"4,768",2128,"2,640",,,0
単独,クリーンセンター管理,クリーンセンター緊急整備工事、定期保全整備工事　ほか,"95,537",,"83,600",,,11937
単独,汚泥再生処理センター管理,汚泥再生処理センター汚泥脱水機整備工事　ほか,"24,893",,"19,000",,,"5,893"
単独,山村・離島振興施設整備事業,農業施設整備補助金,"33,891",,"29,674",,,"4,217"
単独,三宅村特産農産物試験栽培事業,三宅島農場防風柵設置工事,"3,615",,"3,615",,,0
単独,製氷施設整備事業,製氷施設整備工事,"180,160",,"179,120",,,"1,040"
単独,漁業無線設備整備事業,漁業無線設備整備,"9,102",,"9,032",,,70
単独,観光施設・観光スポット景観保持事業,旧レストハウス鉄筋除去工事,"2,970",,"2,970",,,0
単独,観光振興施設整備事業,温泉源補足調査業務委託,"4,103",,"4,100",,,3
単独,ふるさと体験ビレッジ運営,ふるさとの湯空調設備工事、ふるさとの湯浴室サッシ工事　ほか,"17,981",7997,"4,000",,,5984
単独,海水浴場運営事業,大船戸海水浴場シャワー室設計委託,"5,500",5500,,,,0
単独,クライミング施設運営,レクリエーションセンター改修工事,"13,517",,"13,458",,,59
補助,村営住宅改修事業,清水ヶ原第五団地改修工事、釜根第二団地改修工事,"52,542","20,089","32,000",,,453
単独,道路維持費,村道下馬野尾線排水施設整備工事　ほか,"24,604",,"12,000",,,"12,604"
単独,安全施設整備事業,川田沢転落防護柵撤去設置工事ほか,"16,940",,"16,000",,,940
単独,一般管理費（村営住宅）,住宅内装補修、床改修工事　ほか,"18,690",,"18,000",,,690
単独,安全確保対策,噴石シェルター建築工事、臨時庁舎非常用電気設備改修工事,"36,465",23077,"13,000",,,388
単独,防災行政無線デジタル化整備,防災行政無線デジタル化整備工事、工事監理業務委託,"421,157",,,421100,,57
単独,小型動力ポンプ購入,小型動力ポンプ購入,"3,626",,3612,,,14
単独,校舎管理費,小中学校バリアフリー改修工事,"31,757",,"31,000",,,757
単独,施設整備事業,小学校内部改修工事、小学校教室空調機取替工事　ほか,"7,439",3284,"4,100",,,55
単独,一般管理費（給食）,学校給食共同調理場空調機取替工事　ほか,"3,015",2212,750,,,53
