年度（年）,内容,事業費（千円）,負担区分三宅村（千円）,負担区分東京都（千円）,
2,ふるさとの湯屋根改修工事,"21,835","10,918","10,917",
3,三宅島巨樹観光施設整備業務、三宅村レクリエーションセンター改修工事、ふるさと味覚館スロープ設置及び思いやり駐車場整備工事、ふるさとの湯休憩室設計業務,"28,054","14,028","14,026",
4,ふるさとの湯休憩室改修工事、大船戸海水浴場シャワー室周辺整備事業,"39,655","19,828","19,827",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
