年月,予定便数（機）,就航数（機）,欠航数強風着（機）,欠航数強風発（機）,欠航数視界着（機）,欠航数視界発（機）,欠航数ガス着（機）,欠航数ガス発（機）,欠航数その他着（機）,欠航数その他発（機）,就航率（％）,東京→三宅島降客数（人）,東京→三宅島提供座席数（席）,東京→三宅島利用率（％）,三宅島→東京乗客数（人）,三宅島→東京提供座席数（席）,三宅島→東京利用率（％）,合計乗降客数（人）,合計提供座席数（席）,合計利用率（％）,貨物取扱量卸（ｋｇ）,貨物取扱量積（ｋｇ）,郵便取扱量卸（ｋｇ）,郵便取扱量積（ｋｇ）
4,86,73,0,0,13,13,0,0,0,0,84.88,622,"1,387",44.84,992,"1,387",71.52,"1,614","2,774",58.18,187,7,―,―
5,93,86,0,0,7,7,0,0,0,0,92.47,835,"1,634",51.1,"1,279","1,634",78.27,"2,114","3,268",64.69,184,28,―,―
6,88,79,0,0,9,9,0,0,0,0,89.77,706,"1,501",47.04,"1,212","1,501",80.75,"1,918","3,002",63.89,184,38,―,―
7,93,88,0,0,5,5,0,0,0,0,94.62,847,"1,672",50.66,"1,240","1,672",74.16,"2,087","3,344",62.41,166,53,―,―
8,93,88,0,0,5,5,0,0,0,0,94.62,"1,024","1,672",61.24,"1,416","1,672",84.69,"2,440","3,344",72.97,192,59,―,―
9,86,78,0,0,7,7,0,0,1,1,90.7,758,"1,482",51.15,"1,202","1,482",81.11,"1,960","2,964",66.13,147,31,―,―
10,91,86,0,0,5,5,0,0,0,0,94.51,864,"1,634",52.88,"1,365","1,634",83.54,"2,229","3,268",68.21,156,7,―,―
11,90,86,0,0,4,4,0,0,0,0,95.56,903,"1,634",55.26,"1,407","1,634",86.11,"2,310","3,268",70.69,172,43,―,―
12,93.5,93.5,0,0,0,0,0,0,0,0,100,925,"1,767",52.35,"1,548","1,786",86.67,"2,473","3,553",69.6,233,11,―,―
1,78,75,0,0,3,3,0,0,0,0,96.15,810,"1,425",56.84,"1,080","1,425",75.79,"1,890","2,850",66.31,144,31,―,―
2,65,60,0,0,5,5,0,0,0,0,92.31,714,"1,140",62.63,990,"1,140",86.84,"1,704","2,280",74.74,146,9,―,―
3,93,81,0,0,12,12,0,0,0,0,87.1,891,"1,539",57.89,"1,328","1,539",86.29,"2,219","3,078",72.09,156,4,―,―
,,,,,,,,,,,,,,,,,,,,,,,,
R3,913,835,5,5,68,68,0,0,5,5,91.46,"7,497","15,865",47.25,"11,342","15,865",71.49,"18,839","31,730",59.37,,,,
R2,746,686,4,4,55,56,0,0,1,2,91.96,"5,833","13,034",44.75,"8,738","12,996",67.24,"14,571","26,030",55.98,,,,
31,992,907,8,8,71,71,0,0,7,6,91.43,"9,888","17,214",57.44,"15,124","17,252",87.67,"25,012","34,466",72.57,,,,
30,"1,016",962,3,3,49,48,0,0,3,2,94.69,"9,858","18,259",54,"16,010","18,297",87.5,"25,868","36,556",70.9,,,,
29,"1,121","1,043",14,14,59,60,0,0,5,4,93.04,"9,843","19,817",49.67,"16,322","19,817",82.36,"26,165","39,634",66.02,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
