村別,区分,総数,１ｈａ未満,１～５ｈａ,５～１０ｈａ,１０～５０ｈａ,５０ｈａ以上
三宅村,人数（人）,"2,137人","1,579",449,76,30,3
三宅村,比率（％）,100%,73.9,21.0 ,3.6,1.4,0.1
御蔵島村,人数（人）,80人,39,12,15,13,1
御蔵島村,比率（％）,100%,48.8,15.0 ,18.8,16.3,1.3
計,人数（人）,"2,217人","1,618",461,91,43,4
計,比率（％）,100%,73.0 ,20.8,4.1,1.9,0.2
