区分,０歳～１８歳までの児童数（人）,総人口に対する児童数の比率（％）,保育所入所対象児（三宅は１歳～５歳）（御蔵は３歳～５歳）入所児（人）,保育所入所対象児（三宅は１歳～５歳）（御蔵は３歳～５歳）未入所児（人）,小学校児童（人）,中学校生徒（人）,高校生徒（人）,施設入所（学）児（人）,０歳～１歳まで（人）
三宅村,267,11.8,65,24,99,40,23,0,30
御蔵島村,55,19.4,15,0,26,6,0,0,5
計,322,13.1,80,24,125,46,23,0,35
