区分,０歳～１８歳までの児童数（人）,総人口に対する児童数の比率（％）,保育所入所対象児（三宅は１歳～５歳）（御蔵は３歳～５歳）入所児（人）,保育所入所対象児（三宅は１歳～５歳）（御蔵は３歳～５歳）未入所児（人）,小学校児童（人）,中学校生徒（人）,高校生徒（人）,施設入所（学）児（人）,０歳～１歳まで（人）
三宅村,260,11.7,61,24,94,42,24,0,25
御蔵島村,54,19.6,14,0,27,8,0,0,2
計,314,12.6,75,24,121,50,24,0,27
