島名,事業項目,事業細目,事業細々目,箇所名,施工地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,05年度予算事業費（千円）,05年度予算国費（千円）,05年度予算都費（千円）,05年度予算町村費（千円）,05年度予算その他（千円）,事業概要
三宅島,治山,－,復旧治山,夕景,伊ヶ谷,都,R4,R5,"190,890","91,850","65,000","35,750","29,250",0,0,山腹基礎工
三宅島,,－,復旧治山,金曽沢,坪田,都,R2,R6,"176,727","95,150","53,000","29,150","23,850",0,0,山腹基礎工
三宅島,,治山計,,,,,,,"367,617","187,000","118,000","64,900","53,100",0,0,
三宅島,港湾,－,地方港湾,三池港,三宅村沖ヶ平,都,S55,R8,"18,981,334","14,703,627","735,000","588,000","147,000",0,0,防波堤
三宅島,,港湾計,,,,,,,"18,981,334","14,703,627","735,000","588,000","147,000",0,0,
三宅島,空港,－,照明工事,三宅島空港,三宅村坪田,都,R5,R6,"180,000","144,000","72,000","57,600","14,400",,,RESA改修
三宅島,,空港計,,,,,,,"180,000","144,000","72,000","57,600","14,400",0,0,
三宅島,水産基盤,漁港,水産生産,阿古漁港,三宅村阿古,都,H24,R8,"8,051,505","6,111,990","564,400","376,266","188,134",0,0,岸壁(改良）等
三宅島,,漁港,水産生産,伊ヶ谷漁港,三宅村伊ヶ谷,都,H14,R8,"8,490,697","5,884,736","121,819","69,500","52,319",0,0,岸壁等
三宅島,,水産基盤計,,,,,,,"16,542,202","11,996,726","686,219","445,766","240,453",0,0,
三宅島,廃棄物処理,循環型社会形成推進交付金,浄化槽設置整備,三宅村,三宅村内,村,R2,R6,"4,500","2,250","1,200",600,300,300,0,浄化槽設備整備
三宅島,,廃棄物処理計,,,,,,,"4,500","2,250","1,200",600,300,300,0,
三宅島,社会資本整備総合交付金,道路,都道,三宅循環線,三宅村坪田,都,H22,R8,"1,707,000","1,024,200",0,0,0,0,0,現道拡幅
三宅島,,,,,三宅村坪田,都,H25,R8,"1,774,000","1,064,400","40,000","24,000","16,000",0,0,現道拡幅
三宅島,,,,,三宅村伊ヶ谷,都,H27,R7,"1,410,000","846,000","115,000","69,000","46,000",0,0,現道拡幅
三宅島,,,,,三宅村伊ヶ谷,都,R2,R12,"7,921,000","4,752,600",0,0,0,0,0,バイパス
三宅島,,道路計,,,,,,,"12,812,000","7,687,200","155,000","93,000","62,000",0,0,
三宅島,,港湾,地方港湾,三池港,三宅村沖ヶ平,都,R2,R7,"1,988,000","1,032,300","300,000","150,000","150,000",0,0,駐車場等
三宅島,,港湾計,,,,,,,"1,988,000","1,032,300","300,000","150,000","150,000",0,0,
三宅島,,社会資本整備総合交付金計,,,,,,,"14,800,000","8,719,500","455,000","243,000","212,000",0,0,
三宅島,防災・安全交付金,港湾,地方港湾,三池港,三宅村沖ヶ平,都,H24,R7,"998,000","499,000","90,000","45,000","45,000",0,0,防波堤（改良）
三宅島,,港湾計,,,,,,,"998,000","499,000","90,000","45,000","45,000",0,0,
三宅島,,砂防,火山砂防,厚木沢,三宅村坪田,都,H13,R6,"2,602,000","1,431,100","30,000","16,500","13,500",0,0,渓流保全工
三宅島,,,,とんび沢南支川,三宅村坪田,都,H30,R10,"261,800","143,990",0,0,0,0,0,堰堤工
三宅島,,,,ようが沢東支川,三宅村坪田,都,R2,R7,"264,000","145,200","6,000","3,300","2,700",0,0,
三宅島,,,,長沢,三宅村伊ヶ谷,都,H28,R7,"530,000","291,500","30,000","16,500","13,500",0,0,堰堤工
