要素１,要素２,要素３,1,2,3,4,5,6,7,8,9,10,11,12,年
海面気圧[sanitize]１０００ｈＰａ,,,16.7,15.5,17.2,17.6,10.5,10.1,10.8,10.6,13.8,17.4,15.9,15.8,14.3
気温,平均気温,,10.6,11.8,14.8,16.3,20.3,22.3,25.8,27.2,24.5,21,17.1,12.7,18.7
気温,最高,平均℃,12.7,14.4,17.6,19,22.6,24.9,28.3,29.6,26.5,23.7,19.2,15,21.1
気温,最高,極値℃,17.6,19.9,21.1,22.4,25.9,27.5,30.7,31.7,29.8,27.8,23.2,20.6,31.7
気温,最高,その起日,27*,22,28,28,18,8,29,30,1,3,9,1,8月30日
気温,最低,平均℃,8.2,8.9,11.7,13.2,18,19.7,23.4,25.1,22.5,18.3,14,9.7,16.1
気温,最低,極値℃,3.9,3.8,7.2,8.6,13.7,17,20.6,22,20.2,13.7,7,4,3.8
気温,最低,その起日,9*,19,23,26,3,1,1,15,25,23,28,29,2月19日
湿度,平均湿度％,,66,60,72,67,79,82,88,87,84,78,69,66,75
湿度,最小,極値％,30,34,38,32,35,47,63,59,57,40,36,32,30
湿度,最小,その起日,4,11,17*,22,3,8,23,30,24,29,28*,27,1月4日
風速,平均風速ｍ／ｓ,,7.9,7.7,5.3,5.7,5.7,4,4.2,5.1,5.4,5.7,6.2,7.6,5.9
風速,最大風速ｍ／ｓ,,21.1,21.9,19,18.6,18.4,13.2,14.4,21.4,14.6,26.3,19.8,21.5,26.3
風速,風向,,W,W,W,W,W,NE,N,NNE,NE,NE,W,W,NE
風速,その起日,,19,15,14,18,2,29,1,8,27,1,24,17,10月1日
風速,最大瞬間風速ｍ／ｓ,,30.8,31.4,25.4,26.1,24.9,18.2,24.5,26,21.3,37.6,26.6,30.8,37.6
風速,風向,,W,W,W,W,W,S,W,N,NE,N,W,W,N
風速,その起日,,29,15,14,18,2,4,1,8,27,1,24,17,10月1日
日照,日照時間ｈｒ,,90.1,156.2),165,182.1,146.5,139.8,191.5,196.3,95.2,134.2,102.6,128.4,1727.9
日照,日照率％,,29,51),45,47,34,32,44,47,26,38,33,42,39
降水,降水総ｍｍ,,120.0.,69,274.5,158,184.5,218,408.5,412.5,393.5,473.5,220.5,174.5,3107
降水,最大日ｍｍ,,46,54.5,72,50.5,45,56,210,236,72.5,196.5,62.5,65,236
降水,とその起日,,24,15,13,29,27,29,1,8,4,1,22,17,8月8日
降水,日数,≧　０．０,22,11,20,16,24,20,21,20,25,20,20,18,237
降水,日数,≧　０．５,12,6,14,7,14,16,14,17,22,18,18,10,168
降水,日数,≧　１．０,8,5,14,7,14,15,11,15,18,16,17,9,149
降水,日数,≧１０．０,5,1,9,6,6,8,7,4,13,9,6,4,78
降水,日数,≧３０．０,1,1,2,2,2,1,3,4,5,5,2,3,31
天気日数,雨（≧０．５ｍｍ）,,12,6,14,7,14,16,14,17,22,18,18,10,168
天気日数,雪,,3,2,0,0,0,0,0,0,0,0,0,0,5
天気日数,霧,,0,0,0,0,0,0,0,0,0,0,0,0,0
天気日数,不照,,6,2,5,0,4,4,4,3,6,7,2,4,47
天気日数,日最大風速１０ｍ／ｓ以上,,26,20,17,15,13,4,1,6,14,15,15,26,172
,,,,,,,,,,,,,,,
