科目,金額（円）,,,,,,
総額,"4,771,170",,,,,,
使用料,"3,363,470",,,,,,
手数料,"1,397,200",,,,,,
財産収入,0,,,,,,
諸収入,"10,500",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
