区分,神着,伊豆,伊ヶ谷,阿古,坪田,三宅村（計）,御蔵島村,計
男,98 ,53 ,34 ,163 ,125 ,473 ,29 ,502 
女,96 ,54 ,31 ,171 ,115 ,467 ,25 ,492 
計,194 ,107 ,65 ,334 ,240 ,940 ,54 ,994 
