年度（年）,三宅管内隻数（隻）,三宅管内トン数（トン）,三宅管内馬力数（馬力）,平均トン数（トン）,平均馬力数（馬力）
30,147,504.7,"12,567",3.43,85
元,145,502.83,"12,860",3.47,89
2,141,492.96,"12,600",3.5,91
3,135,481.24,"12,733",3.56,94
4,130,468.4,"12,504",3.6,96
