作目１,作目２,三宅村作付面積（ｈ?sanitize]j,三宅村生産額（百万円）,御蔵作付面積（ｈ?sanitize]j,島村生産額（百万円）,合計作付面積（ｈ?sanitize]j,合計生産額（百万円）
野菜類,カンショ,2.6 ,8,[sanitize],[sanitize],2.6 ,8
野菜類,バレイショ,1.0 ,1,[sanitize],[sanitize],1.0 ,1
野菜類,サトイモ,3.2 ,5,[sanitize],[sanitize],3.2 ,5
野菜類,アシタバ,20.4 ,116,3.4,21,23.8 ,137
野菜類,キヌサヤ,0.6 ,4,[sanitize],[sanitize],0.6 ,4
野菜類,その他,2.9 ,18,[sanitize],[sanitize],2.9 ,18
野菜類,小計,30.7 ,152,3.4,21,34.1 ,173
花き類,切葉・切枝類,5.6 ,[sanitize],[sanitize],[sanitize],5.6 ,[sanitize]
花き類,その他,0.1 ,[sanitize],2.9,1,3.0 ,[sanitize]
花き類,小計,5.7 ,76,2.9,1,8.6 ,76
果樹,,0.3 ,6,[sanitize],[sanitize],0.3 ,6
その他,,0.0 ,0,[sanitize],[sanitize],0.0 ,0
合計,,36.6 ,235,6.3,22,42.9 ,257
