地域,年度（年）,１月（人）,２月（人）,３月（人）,４月（人）,５月（人）,６月（人）,７月（人）,８月（人）,９月（人）,１０月（人）,１１月（人）,１２月（人）,合計（人）
三宅島,2,"2,772","2,639","2,357",766,408,"1,439","2,358","3,293","2,765","2,432","2,701","2,067","25,997"
三宅島,3,"1,330","1,244","2,191","2,171","1,852","1,990","2,847","2,729","2,283","2,659","3,109","2,635","27,040"
三宅島,4,"2,017","1,390","2,466","2,609","3,825","2,910","3,708","4,119","2,962","3,338","3,294","2,778","35,416"
御蔵島,2,442,362,328,165,61,259,780,"1,393",693,677,540,326,"6,026"
御蔵島,3,304,260,490,461,404,943,750,731,630,930,619,338,"6,860"
御蔵島,4,406,324,420,472,"1,050",934,"1,127","1,001",653,935,620,336,"8,278"
