区分１,区分２,総数（人）,１月（人）,２月（人）,３月（人）,４月（人）,５月（人）,６月（人）,７月（人）,８月（人）,９月（人）,１０月（人）,１１月（人）,１２月（人）
出生,三宅村,15,2,0,1,0,1,3,3,3,0,1,0,1
出生,御蔵島村,2,1,0,0,0,0,0,0,0,1,0,0,0
出生,計,17,3,0,1,0,1,3,3,3,1,1,0,1
婚姻,三宅村,8,1,2,0,0,0,1,2,1,0,0,0,1
婚姻,御蔵島村,2,0,0,1,0,0,0,1,0,0,0,0,0
婚姻,計,10,1,2,1,0,0,1,3,1,0,0,0,1
離婚,三宅村,1,0,0,0,0,0,1,0,0,0,0,0,0
離婚,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
離婚,計,1,0,0,0,0,0,1,0,0,0,0,0,0
死亡,三宅村,42,8,4,2,2,1,4,4,4,7,4,0,2
死亡,御蔵島村,1,1,0,0,0,0,0,0,0,0,0,0,0
死亡,計,43,9,4,2,2,1,4,4,4,7,4,0,2
死産,三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0
死産,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
死産,計,0,0,0,0,0,0,0,0,0,0,0,0,0
合計,,71,13,6,4,2,2,9,10,8,8,5,0,4
