事業名,公単別,事業内容,事業主体,事業費（千円）,負担区分（国）千円,負担区分（都）千円,負担区分（村）千円
地域農政推進対策,単,担い手育成活動支援,三宅村,520,-,259,261
農業委員会交付金,公,農業委員会活動補助,三宅村,12088,1056,-,11032
農業委員会交付金,公,農業委員会活動補助,御蔵島村,8924,456,-,8468
東京都国有農地等管理処分事業事務取扱交付金,公,国有農地管理事務費,三宅村,66,66,-,-
