地区別,建設業（人）,製造業（人）,卸・小売業（人）,金融保険業（人）,運輸通信業（人）,電気・ガス水道業（人）,サービス業（人）,その他（人）,計（人）
神着,8,3,13,2,3,0,20,3,52
伊豆,4,2,5,0,2,1,5,0,19
伊ヶ谷,1,1,1,0,0,0,4,0,7
阿古,15,1,31,0,4,0,36,1,88
坪田,9,3,23,0,1,0,27,2,65
三宅村計,37,10,73,2,10,1,92,6,231
御蔵島村,1,1,3,0,0,0,21,1,27
合計,38,11,76,2,10,1,113,7,258
