生産品,元～4数量,元～4数量（単位）,元～4金額（千円）,備考
木材,－,ｍ３,－,平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
木炭,－,俵,－,平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
薪,－,ｍ３,－,平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
椿油,－,ｋｇ,－,平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
生シイタケ,－,ｋｇ,－,平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
サカキ・シキミ,－,千本,－,平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
計,,,－,平成１２年噴火災害後は、個人で少量生産及び出荷しているが、数量等は把握できない状況にある。
