学校名,学級数,児童数１年（人）,児童数２年（人）,児童数３年（人）,児童数４年（人）,児童数５年（人）,児童数６年（人）,児童数計（人）
三宅村立三宅小学校,8,13,22,16,14,19,10,94
三宅村立三宅小学校特別支援学級（固定級）,2,,,,,,,
御蔵島村立御蔵島小学校,5,7,3,5,4,6,2,27
