年月,三池港定期船回数（回）,三池港定期船トン数（トン）,三池港臨時船回数（回）,三池港臨時船トン数（トン）,三池港計回数（回）,三池港計トン数（トン）,阿古漁港定期船回数（回）,阿古漁港定期船トン数（トン）,阿古漁港臨時船回数（回）,阿古漁港臨時船トン数（トン）,阿古漁港計回数（回）,阿古漁港計トン数（トン）,伊ヶ谷漁港定期船回数（回）,伊ヶ谷漁港定期船トン数（トン）,伊ヶ谷漁港臨時船回数（回）,伊ヶ谷漁港臨時船トン数（トン）,伊ヶ谷漁港計回数（回）,伊ヶ谷漁港計トン数（トン）,御蔵島港定期船回数（回）,御蔵島港定期船トン数（トン）,御蔵島港臨時船回数（回）,御蔵島港臨時船トン数（トン）,御蔵島港計回数（回）,御蔵島港計トン数（トン）,,
4,22,"125,818",3,"1,380",25,"127,198",22,"125,818",6,"2,234",28,"128,052",14,"79,534",5,"2,234",19,"81,768",,42,"238,602",7,"2,996",49,"241,598",
5,16,"90,896",3,"1,380",19,"92,276",36,"207,024",11,"4,086",47,"211,110",10,"56,810",4,"1,752",14,"58,562",,52,"297,920",8,"3,193",60,"301,113",
6,29,"171,019",7,"3,330",36,"174,349",19,"113,373",10,"7,108",29,"122,481",10,"60,154",3,"1,368",13,"61,522",,43,"255,151",9,"7,172",52,"262,323",
7,42,"238,602",7,"3,248",49,"241,850",15,"85,215",7,"2,207",22,"87,422",3,"17,043",6,"2,812",9,"19,855",,54,"306,774",9,"7,498",63,"314,272",
8,37,"210,197",5,"2,300",42,"212,497",21,"119,301",8,"2,710",29,"122,011",2,"11,362",4,"1,806",6,"13,168",,49,"278,369",7,"2,735",56,"281,104",
9,5,"28,405",1,460,6,"28,865",33,"189,981",11,"4,086",44,"194,067",18,"102,258",8,"3,678",26,"105,936",,36,"206,606",8,"3,154",44,"209,760",
10,6,"34,086",0,0,6,"34,086",45,"257,317",13,"5,006",58,"262,323",7,"40,603",4,"1,860",11,"42,463",,45,"257,317",9,"3,692",54,"261,009",
11,6,"34,504",2,959,8,"35,463",40,"229,330",14,"5,427",54,"234,757",11,"62,909",4,"1,860",15,"64,769",,37,"212,287",7,"2,694",44,"214,981",
12,33,"188,309",6,"2,799",39,"191,108",6,"34,086",4,"1,353",10,"35,439",13,"75,525",6,"2,780",19,"78,305",,18,"102,676",5,"2,037",23,"104,713",
1,35,"199,671",5,"2,339",40,"202,010",14,"79,952",4,"1,314",18,"81,266",11,"62,909",4,"1,828",15,"64,737",,21,"120,555",5,"2,037",26,"122,592",
2,15,"88,559",3,"1,419",18,"89,978",18,"105,184",10,"3,104",28,"108,288",22,"131,252",8,"3,820",30,"135,072",,27,"157,985",7,"2,433",34,"160,418",
3,13,"77,197",3,"1,419",16,"78,616",29,"167,675",12,"4,835",41,"172,510",20,"115,710",6,"2,900",26,"118,610",,45,"261,915",8,"3,193",53,"265,108",
合計,259,"1,487,263",45,"21,033",304,"1,508,296",298,"1,714,256",110,"43,470",408,"1,757,726",141,"816,069",62,"28,698",203,"844,767",,469,"2,696,157",89,"42,834",558,"2,738,991",
,,,,,,,,,,,,,,,,,,,,,,,,,,
R3,281,"1,603,885",55,"25,851",336,"1,629,736",252,"1,447,496",108,"38,957",360,"1,486,453",147,"840,123",74,"33,950",221,"874,073",,434,"2,488,544",83,"35,972",517,"2,524,516",
R2,336,"1,894,246",70,"43,394",406,"1,937,640",255,"1,445,697",105,"36,323",360,"1,482,020",83,"446,158",65,"35,257",148,"501,415",,440,"2,483,862",82,"37,589",522,"2,521,451",
31,250,"1,407,159",68,"31,381",318,"1,438,540",270,"1,504,932",121,"43,213",391,"1,548,145",138,"775,710",100,"45,460",238,"821,170",,420,"2,349,503",154,"31,202",574,"2,380,705",
30,317,"1,780,207",109,"50,687",426,"1,830,894",262,"1,471,886",119,"45,459",381,"1,517,345",99,"554,840",83,"38,011",182,"592,851",,429,"2,410,967",82,"35,444",511,"2,446,411",
29,291,"1,633,879",124,"58,364",415,"1,692,243",283,"1,582,230",122,"43,803",405,"1,626,033",89,"501,475",74,"35,040",163,"536,515",,475,"2,663,336",88,"34,641",563,"2,697,977",
,,,,,,,,,,,,,,,,,,,,,,,,,,
