局別１,局別２,局別３,加入数アナログ回線（回線）,加入数光回線（回線）,加入数計（回線）,公衆電話ボックス公衆電話（箇所）,公衆電話卓上公衆電話（箇所）,公衆電話計（箇所）
三宅島,２局,三宅島局,449,159,608,8,7,15
三宅島,５局,阿古局,321,117,438,3,3,6
三宅島,６局,坪田局,307,98,405,4,4,8
三宅島,計,,"1,077",374,"1,451",15,14,29
御蔵島,８局,御蔵島局,123,57,180,1,1,2
合計,,,"1,200",431,"1,631",16,15,31
