年度（年）,転用（４条許可）件数（件）,転用（４条許可）面積（ｍ２）,転用のための所有権移転（５条許可）件数（件）,転用のための所有権移転（５条許可）面積（ｍ２）
2,0,0,2,737
3,0,0,1,750
4,0,0,2,288
