島名,事業項目,事業細目,事業細々目,箇所名,施工地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,04年度予算事業費（千円）,04年度予算国費（千円）,04年度予算都費（千円）,04年度予算町村費（千円）,04年度予算その他（千円）,事業概要,所管局
三宅島,治山,[sanitize],復旧治山,夕景,伊ヶ谷,都,R4,R5,"160,000","88,000","102,000","59,730","42,270",0,0,山腹基礎工,産業労働局
三宅島,,[sanitize],復旧治山,金曽沢,坪田,都,R2,R6,"166,022","90,750",0,0,0,0,0,山腹基礎工,産業労働局
三宅島,,治山計,,,,,,,"326,022","178,750","102,000","59,730","42,270",0,0,,
三宅島,港湾,[sanitize],地方港湾,三池港,三宅村沖ヶ平,都,S55,R8,"18,981,334","15,185,067","360,000","288,000","72,000",0,0,防波堤,港湾局
三宅島,,港湾計,,,,,,,"18,981,334","15,185,067","360,000","288,000","72,000",0,0,,
三宅島,,漁港,水産生産,阿古漁港,三宅村阿古,都,H24,R8,"8,036,728","6,107,210","570,000","378,250","191,750",0,0,岸壁（改良）　等,港湾局
三宅島,,漁港,水産生産,伊ヶ谷漁港,三宅村伊ヶ谷,都,H14,R8,"7,053,396","4,854,683","106,819","59,500","47,319",0,0,岸壁　等,港湾局
三宅島,,水産基盤計,,,,,,,"15,090,124","10,961,893","676,819","437,750","239,069",0,0,,
三宅島,廃棄物処理,循環型社会形成推進交付金,浄化槽設置整備,三宅村,三宅村内,村,R2,R6,"4,500","2,250",900,450,225,225,0,,環境局
三宅島,,廃棄物処理計,,,,,,,"4,500","2,250",900,450,225,225,0,,
三宅島,,,都道,三宅循環線,三宅村坪田,都,H22,R8,"1,707,000","853,500",0,0,0,0,0,現道拡幅,建設局
三宅島,,,都道,三宅循環線,三宅村坪田,都,H25,R8,"1,774,000","887,000",0,0,0,0,0,現道拡幅,建設局
三宅島,,,都道,三宅循環線,三宅村伊ヶ谷,都,H27,R7,"1,410,000","705,000","67,000","33,500","33,500",0,0,現道拡幅,建設局
三宅島,,,都道,三宅循環線,三宅村伊ヶ谷,都,R2,R12,"7,921,000","3,960,500",0,0,0,0,0,バイパス,建設局
三宅島,,港湾,地方港湾,三池港,三宅村沖ヶ平,都,R2,R7,"1,988,000","994,000","566,000","283,000","283,000",0,0,駐車場等,港湾局
三宅島,,社会資本整備総合交付金計,,,,,,,"14,800,000","7,400,000","633,000","316,500","316,500",0,0,,
三宅島,防災・安全交付金,港湾,港湾改修,三池港,三宅村沖ヶ平,都,H24,R7,"998,000","499,000","100,000","50,000","50,000",0,0,防波堤（改良）,港湾局
三宅島,,砂防,火山砂防事業,西川西支川,三宅村伊豆,都,H26,R4,"181,000","99,550","46,000","25,300","20,700",0,0,堰堤工,建設局
三宅島,,,火山砂防事業,長沢,三宅村伊ヶ谷,都,H28,R7,"530,000","291,500","40,000","22,000","18,000",0,0,堰堤工,建設局
三宅島,,,火山砂防事業,とんび沢南支川,三宅村坪田,都,H30,R10,"261,800","143,990","6,000","3,300","2,700",0,0,用地,建設局
三宅島,,,火山砂防事業,筑穴ヶ沢,三宅村坪田,都,H13,R6,"2,602,000","1,431,100","10,000","5,500","4,500",0,0,管理用通路工,建設局
三宅島,,,火山砂防事業,厚木沢,三宅村坪田,都,H13,R6,"2,602,000","1,431,100",0,0,0,0,0,流路工,建設局
三宅島,,,火山砂防事業,ようが沢東支川,三宅島神着,都,R2,R7,"264,000","145,200","4,000","2,200","1,800",0,0,用地,建設局
三宅島,,海岸事業,侵食対策事業,三池港,三宅村坪田,都,H17,R12,"3,280,000","1,804,000","70,000","38,500","31,500",0,0,"離岸堤（潜堤）
堤防（改良）",港湾局
三宅島,,,地域住宅計画に基づく事業,埼玉団地,埼玉団地,村,R4,R4,"5,038","2,267","5,038","2,267",0,"2,771",0,埼玉団地　　　　　　　　　　　　　　　　　　　　玄関扉改修工事,住宅政策本部
三宅島,,,地域住宅計画に基づく事業,焼場団地,焼場団地,村,R4,R4,"3,358","1,511","3,358","1,511",0,"1,847",0,焼場団地　　　　　　　　　　　　　　　　　　　　玄関扉改修工事,住宅政策本部
三宅島,,,地域住宅計画に基づく事業,焼場第二団地,焼場第二団地,村,R4,R4,"5,037","2,266","5,037","2,266",0,"2,771",0,焼場第二団地　　　　　　　　　　　　　　　　　　　　玄関扉改修工事,住宅政策本部
三宅島,,,地域住宅計画に基づく事業,湯舟団地,湯舟団地,村,R4,R4,"6,718","3,023","6,718","3,023",0,"3,695",0,湯舟団地　　　　　　　　　　　　　　　　　　　　玄関扉改修工事,住宅政策本部
三宅島,,,地域住宅計画に基づく事業,坊田第二団地,坊田第二団地,村,R4,R4,"8,396","3,778","8,396","3,778",0,"4,618",0,坊田第二団地　　　　　　　　　　　　　　　　　　　　玄関扉改修工事,住宅政策本部
三宅島,,,地域住宅計画に基づく事業,坊田第三団地,坊田第三団地,村,R4,R4,"4,198","1,889","4,198","1,889",0,"2,309",0,坊田第三団地　　　　　　　　　　　　　　　　　　　　玄関扉改修工事,住宅政策本部
三宅島,,,地域住宅計画に基づく事業,長沢第二団地,長沢第二団地,村,R4,R4,"8,587","3,864","8,587","3,864",0,"4,723",0,長沢第二団地　　　　　　　　　　　　　　　　　　　　玄関扉改修工事,住宅政策本部
三宅島,,,地域住宅計画に基づく事業,二島第一団地,二島第一団地,村,R4,R4,"6,869","3,091","6,869","3,091",0,"3,778",0,二島第一団地　　　　　　　　　　　　　　　　　　　　玄関扉改修工事,住宅政策本部
三宅島,,,地域住宅計画に基づく事業,矢玉団地,矢玉団地,村,R4,R4,"6,870","3,091","6,870","3,091",0,"3,779",0,矢玉団地　　　　　　　　　　　　　　　　　　　　玄関扉改修工事,住宅政策本部
三宅島,,防災・安全交付金計,,,,,,,"10,773,871","5,870,220","331,071","171,580","129,200","30,291",0,,
三宅島,,農業農村整備,水利施設整備事業,八重間,三宅村坪田,村,R1,R5,"324,000","178,200","123,648","68,006","24,730","30,912",0,パイプライン更新等,産業労働局
三宅島,,,侵食対策,阿古漁港,三宅村阿古,都,H26,R10,"888,000","488,400",0,0,0,0,0,離岸堤（改良）,港湾局
三宅島,,農山漁村地域整備交付金計,,,,,,,"1,212,000","666,600","123,648","68,006","24,730","30,912",0,,
,三　宅　島　計,,,,,,,,"61,187,851","40,264,780","2,227,438","1,342,016","823,994","61,428",0,,
