震度,1,2,3,4,5,6,7,8,9,10,11,12,計
回数,5,6,7,6,10,7,4,4,4,5,6,2,66
１未満,5,6,7,6,10,7,4,4,4,5,6,2,66
１以上,,,,,,,,,,,,,
