要素１,要素２,1,2,3,4,5,6,7,8,9,10,11,12,年
平均気温℃,東京,4.9,5.2,10.9,15.3,18.8,23,27.4,27.5,24.4,17.2,14.5,7.5,16.4
平均気温℃,大島,7.2,7.1,12.2,15.4,18.7,21.9,26.1,26.7,24.5,18.4,16.3,9.7,17
平均気温℃,三宅島,9.6,9.4,14.2,16.9,19.2,22.7,26.3),27.5,25.7,20.5,18.5,12.2,18.6
平均気温℃,八丈島,9.7,9.4,14.2,17.1,18.6,21.8,25.4),27.3,25.9,20.9,18.1,12.2,18.4
降水量ｍｍ,東京,22.5,71,110.5,224.5,198,64,233,105,310,118,102.5,56.5,1615.5
降水量ｍｍ,大島,38,200.5,149,537.5,302.5,326.5,307.5,466,353,223.5,316.5,76.5,3297
降水量ｍｍ,三宅島,119,175.5,289.5,376,274,544.5,224,309.5,210.5,187,330,153,3192.5
降水量ｍｍ,八丈島,191.0),166.5,173.5,358.5,206.5,365.5,336.5),331.5,176.5,676,421.5,120.5,3524
日照時間ｈ,東京,206.8,190.9,195.6,169.6,181.1,167.6,176.4,150.4,134.5,119.4,160.9,175.7,2028.9
日照時間ｈ,大島,154.2,163.2,182.4,148.3,188.9,127.1,190.1,158.6,140.8,127.6,145.3,154.3,1880.8
日照時間ｈ,三宅島,115.3,123.7,155.7,153.6,162.4,162.5,196.6),204,93.9,107.8,89.3,104.3,1669.1
日照時間ｈ,八丈島,70.1),74.9,124.9,105.8,123.7,107.1,176.2),183.1,137.4,102.7,112.9,62.5,1381.3
平均風速ｍ／ｓ,東京,2.6,2.6,2.8,2.8,2.7,2.8,3,3.2,2.8,2.4,2.2,2.2,2.7
平均風速ｍ／ｓ,大島,5,5.5,5.2,5.4,4.2,4.9,4.5,4.7,5,5.5,4.8,5.7,5
平均風速ｍ／ｓ,三宅島,6.1,7.5,6.3,5.2,4.4,5.1,3.9),4.6,6.2,6.8,5.1,7.2,5.7
平均風速ｍ／ｓ,八丈島,4.6),5.8,4.9,4.7,3.5,4,3.6),3.8,4.9,5.8,4.1,4.8,4.5
平均湿度％,東京,52,53,63,75,75,77,79,79,81,75,70,60,70
平均湿度％,大島,63,63,74,83,81,88,89,88,86,79,77,69,78
平均湿度％,三宅島,65,63,71,81,81,87,89),88,86,78,76,68,78
平均湿度％,八丈島,71,67),72,85,86,93,94),91,88,82,79,69,81
