年月,三宅島東京⇒三宅入（人）,三宅島東京⇒三宅出（人）,三宅島東京⇒三宅予定（日）,三宅島東京⇒三宅実績（日）,三宅島東京⇒三宅就航率（％）,三宅島三宅⇒東京入（人）,三宅島三宅⇒東京出（人）,三宅島三宅⇒東京予定（日）,三宅島三宅⇒東京実績（日）,三宅島三宅⇒東京就航率（％）,三宅島合計入（人）,三宅島合計出（人）
4,"1,773",102,30,29,96.67,104,"1,231",30,27,90,"1,877","1,333"
5,"2,604",128,31,31,100,278,"2,334",31,31,100,"2,882","2,462"
6,"1,962",101,30,30,100,119,"1,526",30,27,90,"2,081","1,627"
7,"2,571",126,31,30,96.77,167,"1,961",31,30,96.77,"2,738","2,087"
8,"2,841",117,31,30,96.77,147,"2,691",31,30,96.77,"2,988","2,808"
9,"1,961",72,30,28,93.33,119,"1,693",30,25,83.33,"2,080","1,765"
10,"2,243",94,31,30,96.77,96,"1,746",31,28,90.32,"2,339","1,840"
11,"2,113",105,30,29,96.67,135,"1,665",30,26,86.67,"2,248","1,770"
12,"1,627",41,31,27,87.1,52,"1,148",31,25,80.65,"1,679","1,189"
1,"1,458",47,31,30,96.77,66,"1,082",31,30,96.77,"1,524","1,129"
2,"1,325",75,28,27,96.43,81,"1,035",28,26,92.86,"1,406","1,110"
3,"1,918",116,31,31,100,186,"1,674",31,31,100,"2,104","1,790"
計,人,人,日,日,％,人,人,日,日,％,人,人
,"24,396","1,124",365,352,96.44,"1,550","19,786",365,336,92.05,"25,946","20,910"
R3,"18,138",853,365,347,95,"1,129","14,552",365,326,89,"19,267","15,405"
R2,"15,100",758,365,343,94,930,"12,439",365,329,90,"16,030","13,197"
31,"30,319","1,493",366,335,92,"2,061","25,297",366,323,88,"32,380","26,790"
30,"31,738","1,281",365,343,94,"1,833","26,248",365,333,91,"33,571","27,529"
29,"31,613","1,481",365,335,92,"2,190","25,879",365,324,89,"33,803","27,360"
