種別１,種別２,29,30,元,2,3
さば,漁獲量（ｋｇ）,"1,775",789,276,549,609
さば,金額（千円）,583,315,91,178,203
とびうお,漁獲量（ｋｇ）,716,"2,143","1,634",496,392
とびうお,金額（千円）,459,"1,104",800,370,236
むろあじ,漁獲量（ｋｇ）,"6,743","1,530",60,213,"9,611"
むろあじ,金額（千円）,"1,789",417,17,63,"2,681"
まあじ,漁獲量（ｋｇ）,1,0,0,0,0
まあじ,金額（千円）,0,0,0,0,0
しまあじ,漁獲量（ｋｇ）,385,573,404,349,982
しまあじ,金額（千円）,961,"1,485","1,361","1,532","3,280"
たかべ,漁獲量（ｋｇ）,936,"2,422",610,519,"2,767"
たかべ,金額（千円）,"1,212","2,936","1,000",935,"4,223"
いさき,漁獲量（ｋｇ）,285,14,67,51,"1,594"
いさき,金額（千円）,282,14,66,45,"1,342"
かつお類,漁獲量（ｋｇ）,"8,811","22,276","38,345","17,838","45,049"
かつお類,金額（千円）,"5,802","11,553","24,292","11,711","20,456"
まぐろ類,漁獲量（ｋｇ）,"32,399","85,738","113,770","80,750","103,581"
まぐろ類,金額（千円）,"41,059","97,822","118,465","79,010","95,928"
かじき類,漁獲量（ｋｇ）,"2,134","3,102","7,547","2,637","1,770"
かじき類,金額（千円）,"2,040","3,214","7,126","2,421","1,559"
きんめだい,漁獲量（ｋｇ）,"95,100","114,605","104,872","97,079","92,485"
きんめだい,金額（千円）,"129,708","155,152","151,164","116,682","113,401"
ひめだい,漁獲量（ｋｇ）,332,122,81,280,215
ひめだい,金額（千円）,312,158,83,312,201
はまだい,漁獲量（ｋｇ）,8,106,5,396,115
はまだい,金額（千円）,12,183,15,579,170
あおだい,漁獲量（ｋｇ）,"2,448","1,391",620,536,"1,361"
あおだい,金額（千円）,"2,967","1,943",812,588,"1,268"
めだい,漁獲量（ｋｇ）,"20,090","20,586","7,138","9,203","9,979"
めだい,金額（千円）,"14,013","15,506","5,378","5,787","5,805"
あこうだい,漁獲量（ｋｇ）,315,544,543,280,462
あこうだい,金額（千円）,485,"1,057","1,272",615,830
むつ,漁獲量（ｋｇ）,"1,524","2,006","2,766",701,369
むつ,金額（千円）,"2,772","3,314","6,121","1,796",890
まだい,漁獲量（ｋｇ）,97,27,29,22,11
まだい,金額（千円）,65,20,25,21,10
ひらまさ,漁獲量（ｋｇ）,"2,256",871,397,738,796
ひらまさ,金額（千円）,"1,911",560,276,477,454
かんぱち,漁獲量（ｋｇ）,"2,790","6,396","4,873","8,329","4,689"
かんぱち,金額（千円）,"1,979","7,055","5,924","9,047","4,790"
さわら,漁獲量（ｋｇ）,"1,181",996,890,796,552
さわら,金額（千円）,453,393,347,316,199
さめ類,漁獲量（ｋｇ）,0,0,6,0,0
さめ類,金額（千円）,0,0,1,0,0
ぶり類,漁獲量（ｋｇ）,41,20,1,11,9
ぶり類,金額（千円）,22,9,1,3,6
ひらめ,漁獲量（ｋｇ）,14,8,8,0,12
ひらめ,金額（千円）,14,14,17,0,18
ぼら類,漁獲量（ｋｇ）,0,2,0,0,0
ぼら類,金額（千円）,0,1,0,0,0
その他の魚類,漁獲量（ｋｇ）,"8,805","7,957","7,268","10,481","14,125"
その他の魚類,金額（千円）,"8,062","8,432","7,918","10,223","8,823"
魚類計,漁獲量（ｋｇ）,"189,186","274,224","292,210","232,254","291,535"
魚類計,金額（千円）,"216,965","312,656","332,572","242,721","266,770"
かめ,漁獲量（ｋｇ）,0,0,0,0,0
かめ,金額（千円）,0,0,0,0,0
いか類,漁獲量（ｋｇ）,"1,961",794,"1,108","1,870",694
いか類,金額（千円）,"3,606","1,095","2,023","2,466","1,247"
いせえび,漁獲量（ｋｇ）,"1,158","1,150",938,883,220
いせえび,金額（千円）,"6,713","6,535","5,467","5,279","1,300"
とこぶし,漁獲量（ｋｇ）,606,541,367,34,0
とこぶし,金額（千円）,"2,247","2,003","1,356",130,0
その他,漁獲量（ｋｇ）,900,514,323,359,209
その他,金額（千円）,"1,244",775,516,651,317
水生動物計,漁獲量（ｋｇ）,"4,625","2,999","2,736","3,146","1,123"
水生動物計,金額（千円）,"13,811","10,408","9,362","8,527","2,863"
てんぐさ,漁獲量（ｋｇ）,"17,007","7,162","1,312","1,350",483
てんぐさ,金額（千円）,"15,211","6,360","1,220","1,046",437
とさかのり,漁獲量（ｋｇ）,0,0,0,0,0
とさかのり,金額（千円）,0,0,0,0,0
※その他の藻類,漁獲量（ｋｇ）,146,437,170,500,13
※その他の藻類,金額（千円）,651,"1,388",762,695,177
藻類計,漁獲量（ｋｇ）,"17,153","7,599","1,482","1,850",496
藻類計,金額（千円）,"15,862","7,748","1,982","1,742",615
合計,漁獲量（ｋｇ）,"210,964","284,822","296,428","237,250","293,154"
合計,金額（千円）,"246,638","330,812","343,916","252,991","270,248"
