地区,総数（箇所）,理容所（箇所）,美容所（箇所）,クリーニング所（箇所）,旅館業旅館・ホテル（箇所）,旅館業簡易宿所（箇所）,公衆浴場（箇所）,温泉利用施設（箇所）,プール（箇所）,コインランドリー（箇所）,簡易水道（箇所）,簡易専用水道（箇所）,小規模貯水槽特定（箇所）,小規模貯水槽特定以外（箇所）,墓地（箇所）,火葬場（箇所）
三宅島,97,4,11,1,16,27,3,1,3,,1,5,8,9,8,2
御蔵島,20,,2,,2,10,1,,1,,1,1,,1,1,
合計,117,4,13,1,18,37,4,1,4,0,2,6,8,10,9,2
