科目１,科目２,科目３,平成２８年度（千円）,平成２７年度（千円）,増減（千円）,増減率（％）
スポーツ振興費,,,84375000,64272000,20103000 ,31.3
スポーツ振興費,スポーツ振興管理費,,993000,894000,99000 ,11.1
スポーツ振興費,スポーツ振興管理費,管理費,993000,894000,99000 ,11.1
スポーツ振興費,オリンピック・パラリンピック準備費,,20333000,46005000,-25672000 ,-55.8
スポーツ振興費,オリンピック・パラリンピック準備費,管理費,3694192,2683503,1010689 ,37.7
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,16638808,43321497,-26682689 ,-61.6
スポーツ振興費,スポーツ推進費,,63049000,17373000,45676000 ,262.9
スポーツ振興費,スポーツ推進費,管理費,1152453,1044694,107759 ,10.3
スポーツ振興費,スポーツ推進費,スポーツ推進費,61896547,16328306,45568241 ,279.1
計,,,84375000,64272000,20103000 ,31.3
