事業名等,参加者数等１,参加者数等２（派遣・クラブ）
地域スポーツクラブ育成セミナー（名）,45,
人材養成・研修事業（スポーツクラブマネージャー養成講習会等）（名）,308,
活動支援事業（地域スポーツクラブ交流会等）（名）,1067,
相談事業（未設置地区市町村や活動中クラブへの訪問等相談）（回）,39,
指導者派遣事業（クラブ活動の充実等事業）（名）,1165,33
情報収集・提供事業（ＨＰ「地域スポーツクラブサポートネット」の運営）,-,
地域スポーツクラブ都民参加事業（名）,24980,
スポーツを通じた子育て世代支援事業（名・クラブ）,3573,26
