事項１,事項２,事項３,事項４,事項５,平成２８年度（千円）,平成２７年度（千円）,増減（千円）,増減率（％）
スポーツ振興費,,,,,84375000,64272000,20103000,31.3
スポーツ振興費,スポーツ振興管理費,,,,993000,894000,99000,11.1
スポーツ振興費,スポーツ振興管理費,管理費,,,993000,894000,99000,11.1
スポーツ振興費,スポーツ振興管理費,管理費,職員費,,813548,704479,109069,15.5
スポーツ振興費,スポーツ振興管理費,管理費,管理事務,,179452,189521,-10069,-5.3
スポーツ振興費,オリンピック・パラリンピック準備費,,,,20333000,46005000,-25672000,-55.8
スポーツ振興費,オリンピック・パラリンピック準備費,管理費,,,3694192,2683503,1010689,37.7
スポーツ振興費,オリンピック・パラリンピック準備費,管理費,職員費,,3694192,2683503,1010689,37.7
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,,,16638808,43321497,-26682689,-61.6
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,総合調整管理事務,,57396,373462,-316066,-84.6
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,開催都市ＰＲ,,4077797,106349,3971448,3734.4
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,開催都市ＰＲ,開催都市ＰＲ,1460387,44789,1415598,3160.6
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,開催都市ＰＲ,ライブサイトに係る事業,1027280,61560,965720,1568.7
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,開催都市ＰＲ,ハンドオーバー,1200000,0,1200000,-
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,開催都市ＰＲ,フラッグツアー,190130,0,190130,-
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,開催都市ＰＲ,リオ大会に係るパラリンピック気運醸成事業,200000,0,200000,-
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会開催に向けた普及啓発,,594583,540252,54331,10.1
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会開催に向けた普及啓発,大会リーフレットの作成・配布,183800,183800,0,0
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会開催に向けた普及啓発,大会サインの作成及び設置事業,237823,242840,-5017,-2.1
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会開催に向けた普及啓発,シティ装飾に係る事業,113612,113612,0,0
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会開催に向けた普及啓発,オリンピック・パラリンピックイベントの開催,39348,0,39348,-
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会開催に向けた普及啓発,全国自治体と連携した取組の推進,20000,0,20000,-
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会成功に向けた区市町村支援,,525673,246000,279673,113.7
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会成功に向けた区市町村支援,大会成功に向けた区市町村支援事業,496000,246000,250000,101.6
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会成功に向けた区市町村支援,２０２０年に向けた都と区市町村との新たな連携事業,29673,0,29673,-
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会開催を通じた被災地復興支援,,272600,247600,25000,10.1
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会開催を通じた被災地復興支援,被災地の姿を世界に向けて発信,54000,54000,0,0.0
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会開催を通じた被災地復興支援,未来への道１０００ｋｍ縦断リレー,155000,130000,25000,19.2
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会開催を通じた被災地復興支援,アスリート派遣・スポーツ交流,63600,63600,0,0.0
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,多言語対応の推進,,66609,38299,28310,73.9
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会を契機とした様々なレガシーの形成,,35446,52780,-17334,-32.8
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会を契機とした様々なレガシーの形成,レガシービジョンに係る調査・検討,35446,44320,-8874,-20.0
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会を契機とした様々なレガシーの形成,レガシーに係るシンポジウムの開催,0,8460,-8460,-
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会準備管理事務,,1716081,1560668,155413,10.0
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会準備管理事務,大会準備管理事務,1578504,1522882,55622,3.7
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,大会準備管理事務,大会開催に向けた広報展開,137577,37786,99791,264.1
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック開催計画,,1459133,1470860,-11727,-0.8
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック開催計画,国際競技団体（ＩＦ）調整及び各種現地調査,265901,106974,158927,148.6
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック開催計画,大会開催計画調整委員会補助,616870,1128408,-511538,-45.3
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック開催計画,開催都市実施事業,576362,235478,340884,144.8
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック施設整備,,7833490,38685227,-30851737,-79.8
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック施設整備,競技施設関連設備,7802490,38562519,-30760029,-79.8
スポーツ振興費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック準備費,オリンピック・パラリンピック施設整備,選手村整備,31000,122708,-91708,-74.7
スポーツ振興費,スポーツ推進費,,,,63049000,17373000,45676600,262.9
スポーツ振興費,スポーツ推進費,管理費,,,1152453,1044694,107759,10.3
スポーツ振興費,スポーツ推進費,管理費,職員費,,1152453,1044694,107759,10.3
スポーツ振興費,スポーツ推進費,スポーツ推進費,,,61896547,16328306,45568241,279.1
スポーツ振興費,スポーツ推進費,スポーツ推進費,スポーツ振興施策の企画調整,,9515477,4527428,4988049,110.2
スポーツ振興費,スポーツ推進費,スポーツ推進費,スポーツ振興施策の企画調整,企画調整,43159,78049,-34890,-44.7
スポーツ振興費,スポーツ推進費,スポーツ推進費,スポーツ振興施策の企画調整,体育施設等の企画調整,9472318,4449379,5022939,112.9
スポーツ振興費,スポーツ推進費,スポーツ推進費,公益財団法人東京都スポーツ文化事業団助成,,58879,56104,2775,4.9
スポーツ振興費,スポーツ推進費,スポーツ推進費,スポーツの振興,,1435385,966526,468859,48.5
スポーツ振興費,スポーツ推進費,スポーツ推進費,スポーツの振興,生涯スポーツの振興,142513,119706,22807,19.1
スポーツ振興費,スポーツ推進費,スポーツ推進費,スポーツの振興,地域スポーツの振興,104765,46183,58582,126.8
スポーツ振興費,スポーツ推進費,スポーツ推進費,スポーツの振興,スポーツムーブメントの創出,518222,441216,77006,17.5
スポーツ振興費,スポーツ推進費,スポーツ推進費,スポーツの振興,ラグビーワールドカップ２０１９の開催,669885,359421,310464,86.4
スポーツ振興費,スポーツ推進費,スポーツ推進費,体育施設等の運営,,2771820,2298088,473732,20.6
スポーツ振興費,スポーツ推進費,スポーツ推進費,総合的な競技力向上施策の推進,,1250348,1162471,87877,7.6
スポーツ振興費,スポーツ推進費,スポーツ推進費,総合的な競技力向上施策の推進,競技スポーツの振興,958856,900979,57877,6.4
スポーツ振興費,スポーツ推進費,スポーツ推進費,総合的な競技力向上施策の推進,スポーツ国際交流事業,291492,261492,30000,11.5
スポーツ振興費,スポーツ推進費,スポーツ推進費,マラソン祭りの開催,,206661,206058,603,0.3
スポーツ振興費,スポーツ推進費,スポーツ推進費,武蔵野の森総合スポーツ施設（仮称）の整備,,23217289,6215233,17002056,273.6
スポーツ振興費,スポーツ推進費,スポーツ推進費,障害者スポーツの振興,,23440688,896398,22544290,2515.0
スポーツ振興費,スポーツ推進費,スポーツ推進費,障害者スポーツの振興,障害者スポーツの振興,1512971,707140,805831,114.0
スポーツ振興費,スポーツ推進費,スポーツ推進費,障害者スポーツの振興,障害者総合スポーツセンターの改修等,1927717,189258,1738459,918.6
スポーツ振興費,スポーツ推進費,スポーツ推進費,障害者スポーツの振興,障害者スポーツ振興基金,20000000,0,20000000,-
計,,,,,84375000,64272000,20103000,31.3
