大会名,主催者,観戦日,会場,招待数,応募数
ＨＳＢＣセブンズワールドシリーズ東京セブンズ２０１５（ラグビー）,ワールドラグビー,平成27年4月4日（土）、5日（日）,秩父宮ラグビー場,募集（２日券）：１２５組２５０人,応募：６５５組
世界フィギュアスケート国別対抗戦２０１５,国際スケート連盟,平成27年4月16日（木）、18日（土）,国立代々木競技場第一体育館,募集：１６日及び１８日　各日１００組２００人（計２００組４００人）、公式練習観覧付　１８日　３５組７０人,応募：１６日２４９６組、１８日１１５６組、公式練習観覧付　１８日２８４組
２０１５明治安田生命Ｊ２リーグ　東京ヴェルディ　ｖｓ　横浜ＦＣ,東京ヴェルディ１９６９フットボールクラブ株式会社,平成27年4月29日（水・祝）,味の素スタジアム,２５０組５００人（割引料金による観戦優待）,応募２６８組５３６人
第６９回全日本体操競技種目別選手権大会,公益財団法人日本体操協会,平成27年6月20日（土）、21日（日）,国立代々木競技場第一体育館,各日１００人（計２００人）,応募２０日３００組６００人、２１日５６３組１１２６人
２０１５明治安田生命Ｊ１リーグ　ＦＣ東京　ｖｓ　モンテディオ山形,東京フットボールクラブ株式会社,平成27年7月19日（日）,味の素スタジアム,２５０組５００人（割引料金による観戦優待）,応募３１６組（７２２人）当選者：２７７組（５５４人）
ＪＡＰＡＮ　ＣＵＰ　２０１５　チアリーディング日本選手権大会,公益社団法人日本チアリーディング協会,平成27年8月28日（金）,国立代々木競技場第一体育館,２５０組５００人,応募３０３組６０６人、当日来場者数２１０人
ＹＯＮＥＸ　ＯＰＥＮ　ＪＡＰＡＮ　２０１５,公益財団法人日本バドミントン協会,平成27年9月8日（火）～13日（日）,東京体育館,２５０組５００人／日（計３０００人）,応募者８日１０１人、９日１９４人、１０日３１５人、１１日３３４人、１２日６２２人、１３日５２３人
２０１５　プレナスなでしこリーグ　日テレ・ベレーザ　ｖｓ　浦和レッズレディース,東京ヴェルディ１９６９フットボールクラブ株式会社,平成27年9月19日（土）,味の素フィールド西が丘,５０組１００人（割引料金による観戦優待）,応募６９組１３８人（主催者好意により全員当選）
東レ　パン・パシフィック・オープン・テニストーナメント,東レ　パン・パシフィック・テニス組織委員会,平成27年9月21日（月・祝）,有明コロシアム、有明テニスの森公園コート,２０組（計４０人）,応募８２９組１６５８人
イオンカップ２０１５世界新体操クラブ選手権,公益社団法人日本新体操連盟,平成27年10月2日（金）～4日（日）,東京体育館,各日１００人（計３００人）,応募２日１８４組３６８人、３日３０２組６０４人、４日５０５組１０１０人
楽天・ジャパン・オープン・テニス・チャンピオンシップス２０１５,公益財団法人日本テニス協会,平成27年10月5日（月）、6日（火）,有明コロシアム、有明テニスの森公園コート,各日５０人（計１００人）主催者事情により中止,
全日本テニス選手権大会９０ｔｈ,公益財団法人日本テニス協会,平成27年11月6日（金）～8日（日）,有明コロシアム、有明テニスの森公園コート,各日３００人（計９００人）,応募６日２１５人、７日３５６人、８日５６６人（主催者の好意により全員当選）
