区分（回）,講義,日程,参加者数（名）
1,「スポーツ行政とスポーツ推進委員制度」,6/26,延１７８
1,「地域スポーツクラブの設立と育成について」,6/26,※
1,「スポーツ施設と指定管理者制度」,6/26,※
2,２０２０年東京大会後を見据えた障害者スポーツの推進における行政の役割,1/15,84
