表彰名,個人（名）,個人うち障害者スポーツ（名）,個人うちスポーツ推進委員功労（名）,団体（団体）,団体うち障害者スポーツ（団体）
東京都スポーツ功労賞の表彰,38,3,,27,2
東京都功労者表彰（スポーツ振興功労）の推薦,12,1,,8,1
文部科学大臣表彰の推薦,8,,2,6,1
