区分,平成２８年度（千円）,平成２７年度（千円）,増減（千円）,増減率（％）
歳入（Ａ）,34750193,23566790,11183403 ,47.5
歳出（Ｂ）,84375000,64272000,20103000 ,31.3
差引一般財源（Ｂ）－（Ａ）,49624807,40705210,8919597 ,21.9
