科目,平成２８年度（千円）,平成２７年度（千円）,増減（千円）,増減率（％）
使用料及手数料,14507,11368,3139 ,27.6
財産収入,914,914,0 ,0.0
繰入金,30443244,22892919,7550325 ,33.0
諸収入,986528,8589,977939 ,11385.9
都債,3305000,653000,2652000 ,406.1
計,34750193,23566790,11183403 ,47.5
