項目,区分,（平成30年）指摘,（平成30年）意見・要望,（平成30年）合計,（平成30年）指摘,（平成30年）意見・要望,（平成30年）合計
収入,会計処理（収入）,1,1,2,2,,2
収入,債権管理,5,,5,,,
支出,契約（仕様・積算）,4,,4,1,,1
支出,契約（履行確認）,5,,5,5,,5
支出,契約（その他）,12,,12,13,,13
支出,会計処理（支出）,1,,1,3,,3
支出,補助金等,22,3,25,11,2,13
財産,財産管理,3,,3,3,1,4
財産,物品管理,3,,3,4,,4
その他,情報管理,4,,4,4,,4
その他,その他,6,,6,6,6,12
合計,,66,4,70,52,9,61
