年・期平均,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／就業率（％、ポイント）,男女計／完全失業率（％、ポイント）,男計／１５歳以上人口（千人）,男計／１５歳以上人口／労働力人口（千人）,男計／１５歳以上人口／労働力人口／就業者数（千人）,男計／１５歳以上人口／労働力人口／完全失業者数（千人）,男計／１５歳以上人口／非労働力人口（千人）,男計／労働力人口比率（％、ポイント）,男計／就業率（％、ポイント）,男計／完全失業率（％、ポイント）,女計／１５歳以上人口（千人）,女計／１５歳以上人口／労働力人口（千人）,女計／１５歳以上人口／労働力人口／就業者数（千人）,女計／１５歳以上人口／労働力人口／完全失業者数（千人）,女計／１５歳以上人口／非労働力人口（千人）,女計／労働力人口比率（％、ポイント）,女計／就業率（％、ポイント）,女計／完全失業率（％、ポイント）
実数／平成29年,2017,,12158,7908,7682,226,4244,65,63.2,2.9,5962,4466,4332,134,1494,74.9,72.7,3,6197,3442,3349,92,2750,55.5,54,2.7
実数／平成30年,2018,,12251,8133,7922,211,4110,66.4,64.7,2.6,6000,4542,4418,123,1456,75.7,73.6,2.7,6250,3591,3504,87,2654,57.5,56.1,2.4
実数／平成31年・令和元年,2019,,12343,8254,8061,193,4077,66.9,65.3,2.3,6040,4584,4470,113,1449,75.9,74,2.5,6303,3670,3590,80,2627,58.2,57,2.2
実数／令和２年,2020,,12409,8362,8104,258,4039,67.4,65.3,3.1,6067,4638,4485,153,1426,76.4,73.9,3.3,6342,3724,3619,105,2613,58.7,57.1,2.8
実数／令和３年,2021,,12476,8485,8231,255,3982,68,66,3,6089,4672,4513,159,1413,76.7,74.1,3.4,6387,3813,3718,96,2569,59.7,58.2,2.5
実数／令和４年,2022,,12462,8558,8332,226,3895,68.7,66.9,2.6,6080,4689,4559,130,1387,77.1,75,2.8,6382,3869,3773,96,2508,60.6,59.1,2.5
実数／令和５年,2023,,12558,8593,8379,214,3956,68.4,66.7,2.5,6131,4697,4576,120,1429,76.6,74.6,2.6,6427,3896,3802,94,2528,60.6,59.2,2.4
実数／平成31年・令和元年４～６月,2019,04～06,12348,8352,8153,200,3988,67.6,66,2.4,6041,4625,4508,117,1413,76.6,74.6,2.5,6307,3728,3644,83,2576,59.1,57.8,2.2
実数／平成31年・令和元年７～９月,2019,07～09,12359,8235,8053,182,4116,66.6,65.2,2.2,6047,4591,4480,111,1451,75.9,74.1,2.4,6312,3644,3573,71,2665,57.7,56.6,1.9
実数／平成31年・令和元年10～12月,2019,10～12,12372,8184,7985,198,4180,66.1,64.5,2.4,6054,4550,4432,118,1497,75.2,73.2,2.6,6319,3633,3553,80,2683,57.5,56.2,2.2
