"年度","区立 白金の森[日]","区立 港南の郷[日]","区立 サン・サン赤坂[日]","民間 麻布慶福苑[日]","民間 ベル[日]","民間 新橋さくらの園[日]","民間 ありすの杜きのこ南麻布[日]","民間 洛和ヴィラ南麻布[日]"
"2013","4360","4237","8157","1202","2676","7573","2415","4445"
"2014","4536","4207","8399","1317","2737","7976","3251","4481"
"2015","4501","4215","8483","1369","1907","7426","3252","4513"
"2016","4262","4217","8020","1223","1490","6755","3195","4436"
"2017","4003","4164","7942","1154","1554","7260","2923","4612"

"平成30年度港区行政資料集　特別養護老人ホーム短期入所生活介護（ショートステイ）延利用日数","Ver201803",,,,,,,
