5-(2)　　元町港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"98,366","18,806","79,560",,　　　　事務用機器,,264,‐,‐,
【一般】,,,"98,366","18,806","79,560",,　　　　その他機械,,265,‐,‐,
(1)　農水産品,,,"7,390",848,"6,542",,(5)　化学工業品,,,"25,932",5,"25,927"
　　　　麦,,11,‐,‐,,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,73,‐,73,,　　　　セメント,,281,"2,095",‐,"2,095"
　　　　とうもろこし,,22,‐,‐,,,　　　　ガラス類,,291,‐,‐,‐
　　　　豆類,,23,‐,‐,,,　　　　窯業品,,301,"1,234",5,"1,229"
　　　　その他雑穀,,24,‐,‐,,,　　　　重油,,311,"13,646",‐,"13,646"
　　　　野菜・果物,,31,"1,401",‐,"1,401",,　　　　揮発油,,320,"3,070",‐,"3,070"
　　　　綿花,,41,‐,‐,,,　　　　その他の石油,,321,"4,053",‐,"4,053"
　　　　その他農産品,,51,647,604,43,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　羊毛,,61,‐,‐,,,　　　　LPG（液化石油ガス）,,323,"1,834",‐,"1,834"
　　　　その他畜産品,,71,"2,568",68,"2,500",,　　　　石油製品,,324,‐,‐,‐
         水産品,,81,"2,701",176,"2,525",,　　　　コークス,,331,‐,‐,‐
(2)　林産品,,,"2,577",6,"2,571",,　　　　石炭製品,,341,‐,‐,‐
　　　　原木,,91,‐,‐,,,　　　　化学薬品,,351,‐,‐,‐
　　　　製材,,92,"2,505",‐,"2,505",,　　　　化学肥料,,361,‐,‐,‐
　　　　樹脂類,,101,66,‐,66,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,‐,‐,‐
　　　　木材チップ,,111,‐,‐,‐,,(6)　軽工業品,,,"1,813",‐,"1,813"
　　　　その他林産品,,112,6,6,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
(3)　鉱産品,,,"16,707",‐,"16,707",,　　　　その他繊維工業品,,401,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　砂糖,,411,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　製造食品,,421,90,‐,90
　　　　金属鉱,,151,‐,‐,‐,,　　　　飲料,,422,"1,723",‐,"1,723"
　　　　砂利・砂,,161,"16,707",‐,"16,707",,　　　　水,,423,‐,‐,‐
　　　　石材,,162,‐,‐,‐,,　　　　たばこ,,424,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,　　　　その他食料工業品,,425,‐,‐,‐
　　　　りん鉱石,,181,‐,‐,‐,,(7)　雑工業品,,,"2,852",495,"2,357"
　　　　石灰石,,191,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
(4)  金属機械工業品,,,"13,201","2,980","10,221",,　　　　家具装備品,,443,‐,‐,‐
　　　　鉄鋼,,221,‐,‐,‐,,　　　　その他日用品,,444,"2,852",495,"2,357"
　　　　鋼材,,222,‐,‐,‐,,　　　　ゴム製品,,451,‐,‐,‐
　　　　非鉄金属,,231,‐,‐,‐,,　　　　木製品,,461,‐,‐,‐
　　　　金属製品,,241,"5,324",2,"5,322",,　　　　その他製造工業品,,471,‐,‐,‐
　　　　鉄道車両,,251,‐,‐,‐,,(8)　特殊品,,,"20,852","7,560","13,292"
　　　　完成自動車,,252,"5,043","2,305","2,738",,　　　　金属くず,,481,‐,‐,‐
　　　　その他輸送用車両,,253,"2,716",614,"2,102",,　　　　再利用資材,,491,392,273,119
　　　　二輪自動車,,254,118,59,59,,　　　　動植物性製造飼肥料,,501,635,,635
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃棄物,,511,"1,320",814,506
　　　　その他輸送機械,,256,‐,‐,‐,,　　　　廃土砂,,512,785,546,239
　　　　産業機械,,261,‐,‐,‐,,　　　　輸送用容器,,521,"3,195","2,693",502
　　　　電気機械,,262,‐,‐,‐,,　　　　取合せ品,,531,"14,525","3,234","11,291"
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,(9)　分類不能のもの,,541,"7,042","6,912",130
,,,,,,,【自航】,,,‐,‐,‐
