５ 　　調査港湾別利用状況,,,,
,,,,
5-(1)　　総計,,,,
,,,,
,,,,上段：平成30年
①　入港船舶,,,,中段：平成29年
,,,,下段： 増・減（△）
,,,　,単位： 隻、総トン
,,,,
種    別,,隻　 　数,,総トン数
総  数,,,"27,704","18,397,023"
,,,"25,592","18,588,369"
,,,"2,112","△ 191,346"
内航商船,500総トン以上　,,"2,857","15,649,931"
,,,"2,956","16,053,359"
,,,△ 99,"△ 403,428"
,5総トン以上500総トン未満　,,"7,613","2,224,892"
,,,"6,542","1,996,502"
,,,"1,071","228,390"
自動車航送船（フェリー）,,,343,"210,121"
,,,131,"63,535"
,,,212,"146,586"
漁  船,,,"12,113","137,808"
,,,"11,972","145,847"
,,,141,"△ 8,039"
避難船,,,6,"2,514"
,,,2,518
,,,4,"1,996"
その他,,,"4,772","171,757"
,,,"3,989","328,608"
,,,783,"△ 156,851"
