5-(10)　　御蔵島港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"21,205","4,934","16,271",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"21,205","4,934","16,271",,　　　　その他機械,,265,‐,‐,‐
(1)　農水産品,,,616,194,422,,(5)　化学工業品,,,"4,024",136,"3,888"
　　　　麦,,11,1,‐,1,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,18,‐,18,,　　　　セメント,,281,"2,302",‐,"2,302"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,‐,‐,‐
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,488,126,362
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,314,‐,314
　　　　野菜・果物,,31,228,2,226,,　　　　揮発油,,320,‐,‐,‐
　　　　綿花,,41,‐,‐,‐,,　　　　その他の石油,,321,662,10,652
　　　　その他農産品,,51,2,2,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　羊毛,,61,‐,‐,‐,,　　　　LPG（液化石油ガス）,,323,240,‐,240
　　　　その他畜産品,,71,89,‐,89,,　　　　石油製品,,324,‐,‐,‐
         水産品,,81,278,190,88,,　　　　コークス,,331,‐,‐,‐
(2)　林産品,,,511,49,462,,　　　　石炭製品,,341,‐,‐,‐
　　　　原木,,91,10,10,‐,,　　　　化学薬品,,351,7,‐,7
　　　　製材,,92,490,29,461,,　　　　化学肥料,,361,11,‐,11
　　　　樹脂類,,101,‐,‐,‐,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,‐,‐,‐
　　　　木材チップ,,111,‐,‐,‐,,(6)　軽工業品,,,348,148,200
　　　　その他林産品,,112,11,10,1,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
(3)　鉱産品,,,"4,714",‐,"4,714",,　　　　その他繊維工業品,,401,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　砂糖,,411,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　製造食品,,421,124,‐,124
　　　　金属鉱,,151,‐,‐,‐,,　　　　飲料,,422,222,148,74
　　　　砂利・砂,,161,"4,714",‐,"4,714",,　　　　水,,423,‐,‐,‐
　　　　石材,,162,‐,‐,‐,,　　　　たばこ,,424,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,　　　　その他食料工業品,,425,2,‐,2
　　　　りん鉱石,,181,‐,‐,‐,,(7)　雑工業品,,,"1,494",352,"1,142"
　　　　石灰石,,191,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
(4)  金属機械工業品,,,"5,238","2,080","3,158",,　　　　家具装備品,,443,‐,‐,‐
　　　　鉄鋼,,221,‐,‐,‐,,　　　　その他日用品,,444,702,294,408
　　　　鋼材,,222,‐,‐,‐,,　　　　ゴム製品,,451,‐,‐,‐
　　　　非鉄金属,,231,‐,‐,‐,,　　　　木製品,,461,792,58,734
　　　　金属製品,,241,"1,741",201,"1,540",,　　　　その他製造工業品,,471,‐,,‐
　　　　鉄道車両,,251,‐,‐,‐,,(8)　特殊品,,,"3,898","1,786","2,112"
　　　　完成自動車,,252,"2,600","1,266","1,334",,　　　　金属くず,,481,391,391,‐
　　　　その他輸送用車両,,253,728,608,120,,　　　　再利用資材,,491,78,78,‐
　　　　二輪自動車,,254,19,5,14,,　　　　動植物性製造飼肥料,,501,13,‐,13
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃棄物,,511,228,204,24
　　　　その他輸送機械,,256,‐,‐,‐,,　　　　廃土砂,,512,156,156,‐
　　　　産業機械,,261,150,‐,150,,　　　　輸送用容器,,521,"1,220",890,330
　　　　電気機械,,262,‐,‐,‐,,　　　　取合せ品,,531,"1,812",67,"1,745"
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,(9)　分類不能のもの,,541,362,189,173
,,,,,,,【自航】,,,‐,‐,‐
