5-(7)　　式根島港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,‐,‐,‐,,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,‐,‐,‐,,　　　　その他機械,,265,‐,‐,‐
(1)　農水産品,,,‐,‐,‐,,(5)　化学工業品,,,‐,‐,‐
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,‐,‐,‐,,　　　　セメント,,281,‐,‐,‐
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,‐,‐,‐
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,‐,‐,‐
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,‐,‐,‐
　　　　野菜・果物,,31,‐,‐,‐,,　　　　揮発油,,320,‐,‐,‐
　　　　綿花,,41,‐,‐,‐,,　　　　その他の石油,,321,‐,‐,‐
　　　　その他農産品,,51,‐,‐,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　羊毛,,61,‐,‐,‐,,　　　　LPG（液化石油ガス）,,323,‐,‐,‐
　　　　その他畜産品,,71,‐,‐,‐,,　　　　石油製品,,324,‐,‐,‐
         水産品,,81,‐,‐,‐,,　　　　コークス,,331,‐,‐,‐
(2)　林産品,,,‐,‐,‐,,　　　　石炭製品,,341,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学薬品,,351,‐,‐,‐
　　　　製材,,92,‐,‐,‐,,　　　　化学肥料,,361,‐,‐,‐
　　　　樹脂類,,101,‐,‐,‐,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,‐,‐,‐
　　　　木材チップ,,111,‐,‐,‐,,(6)　軽工業品,,,‐,‐,‐
　　　　その他林産品,,112,‐,‐,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
(3)　鉱産品,,,‐,‐,‐,,　　　　その他繊維工業品,,401,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　砂糖,,411,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　製造食品,,421,‐,‐,‐
　　　　金属鉱,,151,‐,‐,‐,,　　　　飲料,,422,‐,‐,‐
　　　　砂利・砂,,161,‐,‐,‐,,　　　　水,,423,‐,‐,‐
　　　　石材,,162,‐,‐,‐,,　　　　たばこ,,424,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,　　　　その他食料工業品,,425,‐,‐,‐
　　　　りん鉱石,,181,‐,‐,‐,,(7)　雑工業品,,,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
(4)  金属機械工業品,,,‐,‐,‐,,　　　　家具装備品,,443,‐,‐,‐
　　　　鉄鋼,,221,‐,‐,‐,,　　　　その他日用品,,444,‐,‐,‐
　　　　鋼材,,222,‐,‐,‐,,　　　　ゴム製品,,451,‐,‐,‐
　　　　非鉄金属,,231,‐,‐,‐,,　　　　木製品,,461,‐,‐,‐
　　　　金属製品,,241,‐,‐,‐,,　　　　その他製造工業品,,471,‐,‐,‐
　　　　鉄道車両,,251,‐,‐,‐,,(8)　特殊品,,,‐,‐,‐
　　　　完成自動車,,252,‐,‐,‐,,　　　　金属くず,,481,‐,‐,‐
　　　　その他輸送用車両,,253,‐,‐,‐,,　　　　再利用資材,,491,‐,‐,‐
　　　　二輪自動車,,254,‐,‐,‐,,　　　　動植物性製造飼肥料,,501,‐,‐,‐
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃棄物,,511,‐,‐,‐
　　　　その他輸送機械,,256,‐,‐,‐,,　　　　廃土砂,,512,‐,‐,‐
　　　　産業機械,,261,‐,‐,‐,,　　　　輸送用容器,,521,‐,‐,‐
　　　　電気機械,,262,‐,‐,‐,,　　　　取合せ品,,531,‐,‐,‐
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,(9)　分類不能のもの,,541,‐,‐,‐
,,,,,,,【自航】,,,‐,‐,‐
