5-(15)　　沖港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"18,162","6,298","11,864",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"18,162","6,298","11,864",,　　　　その他機械,,265,334,62,272
(1)　農水産品,,,571,258,313,,(5)　化学工業品,,,"2,597",50,"2,547"
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,‐,‐,‐,,　　　　セメント,,281,352,4,348
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,7,‐,7
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,496,18,478
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,"1,081",‐,"1,081"
　　　　野菜・果物,,31,‐,‐,‐,,　　　　揮発油,,320,‐,‐,‐
　　　　綿花,,41,‐,‐,‐,,　　　　その他の石油,,321,400,3,397
　　　　その他農産品,,51,292,104,188,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　羊毛,,61,‐,‐,‐,,　　　　LPG（液化石油ガス）,,323,31,‐,31
　　　　その他畜産品,,71,41,4,37,,　　　　石油製品,,324,6,‐,6
         水産品,,81,238,150,88,,　　　　コークス,,331,‐,‐,‐
(2)　林産品,,,285,192,93,,　　　　石炭製品,,341,‐,‐,‐
　　　　原木,,91,‐,,‐,,　　　　化学薬品,,351,6,‐,6
　　　　製材,,92,108,15,93,,　　　　化学肥料,,361,‐,‐,‐
　　　　樹脂類,,101,‐,‐,‐,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,218,25,193
　　　　木材チップ,,111,177,177,‐,,(6)　軽工業品,,,390,19,371
　　　　その他林産品,,112,‐,‐,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
(3)　鉱産品,,,"3,209",1,"3,208",,　　　　その他繊維工業品,,401,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　砂糖,,411,7,‐,7
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　製造食品,,421,46,‐,46
　　　　金属鉱,,151,‐,‐,‐,,　　　　飲料,,422,46,‐,46
　　　　砂利・砂,,161,"2,507",‐,"2,507",,　　　　水,,423,‐,‐,‐
　　　　石材,,162,2,1,1,,　　　　たばこ,,424,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,　　　　その他食料工業品,,425,291,19,272
　　　　りん鉱石,,181,‐,‐,‐,,(7)　雑工業品,,,"1,170",340,830
　　　　石灰石,,191,700,‐,700,,　　　　がん具,,431,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
(4)  金属機械工業品,,,"3,078",975,"2,103",,　　　　家具装備品,,443,‐,‐,‐
　　　　鉄鋼,,221,‐,‐,‐,,　　　　その他日用品,,444,974,286,688
　　　　鋼材,,222,166,9,157,,　　　　ゴム製品,,451,27,‐,27
　　　　非鉄金属,,231,‐,‐,‐,,　　　　木製品,,461,169,54,115
　　　　金属製品,,241,765,170,595,,　　　　その他製造工業品,,471,‐,‐,‐
　　　　鉄道車両,,251,‐,‐,‐,,(8)　特殊品,,,"6,862","4,463","2,399"
　　　　完成自動車,,252,"1,079",422,657,,　　　　金属くず,,481,718,718,‐
　　　　その他輸送用車両,,253,‐,‐,‐,,　　　　再利用資材,,491,"1,043","1,043",‐
　　　　二輪自動車,,254,11,‐,11,,　　　　動植物性製造飼肥料,,501,74,‐,74
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃棄物,,511,"1,230","1,230",‐
　　　　その他輸送機械,,256,589,253,336,,　　　　廃土砂,,512,897,897,‐
　　　　産業機械,,261,134,59,75,,　　　　輸送用容器,,521,"1,285",258,"1,027"
　　　　電気機械,,262,‐,‐,‐,,　　　　取合せ品,,531,"1,615",317,"1,298"
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,(9)　分類不能のもの,,541,‐,‐,‐
,,,,,,,【自航】,,,‐,‐,‐
