5-(5)　　利島港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"75,224","4,974","70,250",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"75,224","4,974","70,250",,　　　　その他機械,,265,‐,‐,‐
(1)　農水産品,,,757,190,567,,(5)　化学工業品,,,"3,243",508,"2,735"
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,3,‐,3,,　　　　セメント,,281,"1,596",‐,"1,596"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,3,‐,3
　　　　豆類,,23,2,‐,2,,　　　　窯業品,,301,561,508,53
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,756,‐,756
　　　　野菜・果物,,31,212,‐,212,,　　　　揮発油,,320,96,‐,96
　　　　綿花,,41,‐,‐,‐,,　　　　その他の石油,,321,180,‐,180
　　　　その他農産品,,51,5,5,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　羊毛,,61,‐,‐,‐,,　　　　LPG（液化石油ガス）,,323,51,‐,51
　　　　その他畜産品,,71,198,23,175,,　　　　石油製品,,324,‐,‐,‐
         水産品,,81,337,162,175,,　　　　コークス,,331,‐,‐,‐
(2)　林産品,,,198,‐,198,,　　　　石炭製品,,341,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学薬品,,351,‐,‐,‐
　　　　製材,,92,198,‐,198,,　　　　化学肥料,,361,‐,‐,‐
　　　　樹脂類,,101,‐,‐,‐,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,‐,‐,‐
　　　　木材チップ,,111,‐,‐,‐,,(6)　軽工業品,,,262,‐,262
　　　　その他林産品,,112,‐,‐,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
(3)　鉱産品,,,"62,338",‐,"62,338",,　　　　その他繊維工業品,,401,2,‐,2
　　　　石炭,,131,‐,‐,‐,,　　　　砂糖,,411,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　製造食品,,421,115,‐,115
　　　　金属鉱,,151,‐,‐,‐,,　　　　飲料,,422,145,‐,145
　　　　砂利・砂,,161,"15,006",‐,"15,006",,　　　　水,,423,‐,‐,‐
　　　　石材,,162,"47,332",‐,"47,332",,　　　　たばこ,,424,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,　　　　その他食料工業品,,425,‐,‐,‐
　　　　りん鉱石,,181,‐,‐,‐,,(7)　雑工業品,,,517,206,311
　　　　石灰石,,191,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
(4)  金属機械工業品,,,"3,664","1,369","2,295",,　　　　家具装備品,,443,9,‐,9
　　　　鉄鋼,,221,‐,‐,‐,,　　　　その他日用品,,444,446,206,240
　　　　鋼材,,222,‐,‐,‐,,　　　　ゴム製品,,451,‐,‐,‐
　　　　非鉄金属,,231,‐,‐,‐,,　　　　木製品,,461,58,‐,58
　　　　金属製品,,241,"1,612",461,"1,151",,　　　　その他製造工業品,,471,4,‐,4
　　　　鉄道車両,,251,‐,‐,‐,,(8)　特殊品,,,"4,016","2,689","1,327"
　　　　完成自動車,,252,750,214,536,,　　　　金属くず,,481,260,260,‐
　　　　その他輸送用車両,,253,"1,274",682,592,,　　　　再利用資材,,491,390,390,‐
　　　　二輪自動車,,254,7,3,4,,　　　　動植物性製造飼肥料,,501,4,‐,4
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃棄物,,511,635,623,12
　　　　その他輸送機械,,256,‐,‐,‐,,　　　　廃土砂,,512,953,953,‐
　　　　産業機械,,261,12,5,7,,　　　　輸送用容器,,521,480,316,164
　　　　電気機械,,262,9,4,5,,　　　　取合せ品,,531,"1,294",147,"1,147"
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,(9)　分類不能のもの,,541,229,12,217
,,,,,,,【自航】,,,‐,‐,‐
