5-(9)　　三池港,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"49,135","6,406","42,729",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"49,135","6,406","42,729",,　　　　その他機械,,265,‐,‐,‐
(1)　農水産品,,,"2,420",786,"1,634",,(5)　化学工業品,,,"5,748",31,"5,717"
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,19,‐,19,,　　　　セメント,,281,"2,910",‐,"2,910"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,15,15,‐
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,"1,302",5,"1,297"
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,‐,‐,‐
　　　　野菜・果物,,31,368,‐,368,,　　　　揮発油,,320,24,‐,24
　　　　綿花,,41,‐,‐,‐,,　　　　その他の石油,,321,"1,176",11,"1,165"
　　　　その他農産品,,51,268,251,17,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　羊毛,,61,‐,‐,‐,,　　　　LPG（液化石油ガス）,,323,321,‐,321
　　　　その他畜産品,,71,617,4,613,,　　　　石油製品,,324,‐,‐,‐
         水産品,,81,"1,148",531,617,,　　　　コークス,,331,‐,‐,‐
(2)　林産品,,,451,16,435,,　　　　石炭製品,,341,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学薬品,,351,‐,‐,‐
　　　　製材,,92,449,16,433,,　　　　化学肥料,,361,‐,‐,‐
　　　　樹脂類,,101,‐,‐,‐,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,‐,‐,‐
　　　　木材チップ,,111,‐,‐,‐,,(6)　軽工業品,,,451,‐,451
　　　　その他林産品,,112,2,‐,2,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
(3)　鉱産品,,,"26,814",‐,"26,814",,　　　　その他繊維工業品,,401,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　砂糖,,411,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　製造食品,,421,18,‐,18
　　　　金属鉱,,151,‐,‐,‐,,　　　　飲料,,422,433,‐,433
　　　　砂利・砂,,161,"20,013",‐,"20,013",,　　　　水,,423,‐,‐,‐
　　　　石材,,162,"5,041",‐,"5,041",,　　　　たばこ,,424,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,　　　　その他食料工業品,,425,‐,‐,‐
　　　　りん鉱石,,181,‐,‐,‐,,(7)　雑工業品,,,785,119,666
　　　　石灰石,,191,"1,760",‐,"1,760",,　　　　がん具,,431,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
(4)  金属機械工業品,,,"4,947","1,833","3,114",,　　　　家具装備品,,443,‐,‐,‐
　　　　鉄鋼,,221,‐,‐,‐,,　　　　その他日用品,,444,520,104,416
　　　　鋼材,,222,200,70,130,,　　　　ゴム製品,,451,45,15,30
　　　　非鉄金属,,231,‐,‐,‐,,　　　　木製品,,461,220,‐,220
　　　　金属製品,,241,"1,931",625,"1,306",,　　　　その他製造工業品,,471,‐,,‐
　　　　鉄道車両,,251,‐,‐,‐,,(8)　特殊品,,,"7,203","3,514","3,689"
　　　　完成自動車,,252,"1,838",673,"1,165",,　　　　金属くず,,481,280,280,‐
　　　　その他輸送用車両,,253,637,324,313,,　　　　再利用資材,,491,158,158,‐
　　　　二輪自動車,,254,51,21,30,,　　　　動植物性製造飼肥料,,501,113,2,111
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃棄物,,511,699,593,106
　　　　その他輸送機械,,256,‐,‐,‐,,　　　　廃土砂,,512,316,316,‐
　　　　産業機械,,261,290,120,170,,　　　　輸送用容器,,521,"2,326","1,617",709
　　　　電気機械,,262,‐,‐,‐,,　　　　取合せ品,,531,"3,311",548,"2,763"
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,(9)　分類不能のもの,,541,316,107,209
,,,,,,,【自航】,,,‐,,
